Number,Country,Name,Financing,Status,Approval
TC9811013,Colombia,"Strengthening of Credit Union System","1,221,000",Closed,"Dec. 7, 1998"
TC9805419,Colombia,"Counseling and Tec. Assistance Serv. Mic","3,000,000",Closed,"Oct. 30, 1998"
TC9601338,Colombia,"Technical Training for Paper Industry","6,067,750",Closed,"Jun. 10, 1998"
SP9302027,Colombia,"Support to FMSD","420,000",Closed,"Nov. 20, 1996"
CO-L1207,Colombia,"Support to FMSD","500,000",Closed,"Nov. 20, 1996"
CO-L1208,Colombia,"Support to Fund.desarrollo de la Guajira","500,000",Closed,"Dec. 6, 1995"
SP9302051,Colombia,"Support to Fund.desarrollo de la Guajira","220,000",Closed,"Dec. 6, 1995"
TC9308108,Colombia,"Female Heads of Households Training Prog","5,500,000",Closed,"Nov. 27, 1995"
TC9503229,Colombia,"Strength.comision Reguladora Agua y San.","1,700,000",Closed,"Sep. 27, 1995"
SP9302019,Colombia,"Support to Fundacion Granja Taller","170,000",Closed,"Sep. 1, 1995"
CO-L1206,Colombia,"Support to Fundacion Granja Taller","450,000",Closed,"Sep. 1, 1995"
SP9302085,Colombia,"Support to Fenascol","570,000",Closed,"Aug. 1, 1995"
CO-L1209,Colombia,"Support to Fenascol","230,000",Closed,"Aug. 1, 1995"
TC9308116,Colombia,"Mediation and Arbitration Program","1,808,000",Closed,"May. 24, 1995"
TC9307043,Colombia,"Sme Productive Development Centers","7,194,547",Closed,"Apr. 18, 1995"
TC9308091,Colombia,"Studies Plans:development and Execution","1,077,675",Closed,"Jun. 29, 1994"
TC9407108,Colombia,"Enterprises Learning","1,307,180",Closed,"Jun. 29, 1994"
TC9307051,Colombia,"Streng.of Energy Regulation Commission","1,777,000",Closed,"Mar. 30, 1994"
CO0149,Colombia,"Mif WWC Medellin","750,000",Closed,"Dec. 8, 1993"
TC9310046,Colombia,"Support Fundac.mundial Mujer Bucaramanga","80,000",Closed,"Dec. 8, 1993"
CO0150,Colombia,"Mif Woman World Fundation","500,000",Closed,"Dec. 8, 1993"
TC9307499,Colombia,"Support Banco Mundial de la Mujer Cali","80,000",Closed,"Dec. 8, 1993"
TC9310054,Colombia,"Support Fund.mundial Mujer Popayan","80,000",Closed,"Dec. 8, 1993"
CO0031,Colombia,"MIF WWFCali","4,500,000",Closed,"Dec. 8, 1993"
CO0153,Colombia,"Mif Bucaramanga WWF","500,000",Closed,"Dec. 8, 1993"
TC9310020,Colombia,"Support Corporacion Mundial Mujer Bogota","80,000",Closed,"Dec. 8, 1993"
CO0147,Colombia,"MIF Woman World Corporation","750,000",Closed,"Dec. 8, 1993"
TC9310038,Colombia,"Support Corp.mundial Mujer Medellin","80,000",Closed,"Dec. 8, 1993"
SP9204447,Colombia,"Support to Cooperativa Emprender","107,000",Closed,"Oct. 16, 1992"
SP9206104,Colombia,"Support to Acción Bogotá (Region Norte)","510,000",Closed,"Oct. 16, 1992"
CO-L1204,Colombia,"Support to Corporacion Accion for Caldas","500,000",Closed,"Oct. 16, 1992"
SP9204455,Colombia,"Support Corporacion Accion for Quindio","32,000",Closed,"Oct. 16, 1992"
CO-L1201,Colombia,"Support to Corporacion Accion for Bogota","500,000",Closed,"Oct. 16, 1992"
CO-L1205,Colombia,"Support to Corporacion Accion for Tolima","500,000",Closed,"Oct. 16, 1992"
SP9204463,Colombia,"Support to Corporacion Accion for Caldas","32,000",Closed,"Oct. 16, 1992"
CO-L1202,Colombia,"Support to Cooperativa Emprender","500,000",Closed,"Oct. 16, 1992"
SP9204439,Colombia,"Support to Corporacion Accion for Bogota","167,000",Closed,"Oct. 16, 1992"
SP9204471,Colombia,"Support to Corporacion Accion for Tolima","32,000",Closed,"Oct. 16, 1992"
