MPIO_CDPMP,north,south,east,west
76041,0.09410157732781373,0,0,0.34056455441976746
76054,0.08444720596654234,0,0,0.3535105333360758
76111,0,0.005836944783717755,0,0.34929190736666127
76113,0.030988069093771387,0,0,0.34749636039203163
76122,0.04280273583037123,0,0,0.3182707413420249
76126,0.0043903025437825064,0,0,0.40969242323310234
76130,0,0.06402047996375719,0,0.38142352110290045
76147,0.08471683221467842,0,0,0.3276529536226935
76243,0.1069160950375347,0,0,0.34476889832854746
76246,0.08990187941880409,0,0,0.36199078532535517
76248,0,0.027880179912675176,0,0.36131237618871964
76250,0.06713706120429644,0,0,0.37038094937716104
76275,0,0.07361050893823949,0,0.3561828442417641
76306,0,0.01950406426323735,0,0.359193066337101
76318,0,0.01462519984053939,0,0.37117390184109156
76020,0.08177224521850693,0,0,0.3120593304852824
76497,0.07320626182302917,0,0,0.33126925012677794
76520,0,0.0423408557100465,0,0.3634667702975908
76563,0,0.05928062307071701,0,0.35775982288750624
76606,0,0.011831949122640708,0,0.39895786643523423
76616,0.021785312646913985,0,0,0.38002257110462706
76622,0.05698032516651923,0,0,0.35658380226184455
76670,0.008293143405036528,0,0,0.3612203355168821
76736,0.030625546332402057,0,0,0.3242174547084312
76823,0.07750804783732107,0,0,0.3465084141453925
76828,0.034824465194938016,0,0,0.3767719110424711
76834,0.013242096388212426,0,0,0.34089661927525317
76845,0.08480867640644991,0,0,0.3115253681145527
76863,0.07584021859426512,0,0,0.36232221922044505
76869,0,0.019558849510510543,0,0.39153240258871047
76890,1.492356448142294e-4,0,0,0.3823050486832557
76892,0,0.03772695521283436,0,0.39619453902999763
76895,0.04750150440998371,0,0,0.34299414667418027
76403,0.06118799845571239,0,0,0.3333001818492972
76400,0.0669218974045342,0,0,0.3490772890352308
76377,0,0.02562808883486776,0,0.40531422020706637
76364,0,0.08470379119476049,0,0.40967176318633114
76100,0.04856376029662429,0,0,0.37930663446695784
76233,0,0.031097866227222642,0,0.42039532634640064
76109,0,0.03581130611795672,0,0.4626345106117406
86001,0,0.3288366037914515,0,0.41623122786678585
86219,0,0.3294953712703251,0,0.44886414437679323
86320,0,0.39706218992507525,0,0.4461378267697949
86749,0,0.32881546197551265,0,0.4426634331850371
86755,0,0.34021173051203807,0,0.4350579256282524
86757,0,0.4423003913313036,0,0.4362703912434365
86760,0,0.34639194400545914,0,0.45335970669542097
86865,0,0.4291316411963155,0,0.43931390231283524
86885,0,0.36787014846887467,0,0.42323381691471235
86569,0,0.39075203887114657,0,0.39272818050562225
86568,0,0.42105898933211683,0,0.3750699453203959
86571,0,0.38812529644931076,0,0.3232984677318416
86573,0,0.47260022088800074,0,0.2290593024768815
52683,0,0.321516198756468,0,0.5054895996640691
52685,0,0.2917973716753259,0,0.4551022114843209
52687,0,0.2902778297938129,0,0.47798721544298484
52560,0,0.391046294212894,0,0.5018037497151432
52693,0,0.2731313735618987,0,0.4498522789893124
52565,0,0.3283090874825308,0,0.5218705131482014
52694,0,0.29093154471460536,0,0.4644282379874678
52573,0,0.3782770472297311,0,0.48995112666744683
52699,0,0.3218760105634566,0,0.5387588715852919
52585,0,0.367179022858152,0,0.5259070386377954
52678,0,0.30399925997646826,0,0.5326592781303381
52207,0,0.3312355184306364,0,0.5036333912951869
52210,0,0.3652241050290097,0,0.5137396797135915
52215,0,0.38512858904797653,0,0.4943521117600591
52001,0,0.34666338120583934,0,0.47652802049379517
52019,0,0.29916671676242984,0,0.46066140842744296
52022,0,0.36758948346104914,0,0.5330743690230596
52224,0,0.37226291620492763,0,0.537758229231113
52036,0,0.32678559110466004,0,0.5140945291781721
52051,0,0.2979127894362289,0,0.46771580064607404
52083,0,0.28429849133607793,0,0.45766652887680725
52110,0,0.31818247692125096,0,0.4661575135260157
52203,0,0.2786947747454004,0,0.4581773836462602
52480,0,0.3224072088371043,0,0.4936076829774778
52506,0,0.353277848443861,0,0.5165436282511859
52720,0,0.3524941430415532,0,0.5313480676059539
52786,0,0.2841881744482421,0,0.49029834305522446
52788,0,0.349064647389192,0,0.49323168613485663
52240,0,0.3094169635915308,0,0.4838769913827882
52254,0,0.29394914971020775,0,0.5024626931179488
52258,0,0.30659699017122355,0,0.45100678935033944
52838,0,0.34041224072281995,0,0.525602265119303
52411,0,0.3083501766984458,0,0.5129134104234742
52885,0,0.34150575717999265,0,0.5017885036011993
52435,0,0.3377676053314855,0,0.5505552352842539
52378,0,0.2851086470567264,0,0.44385110875730677
52381,0,0.3158816927773406,0,0.49757633199745627
52260,0,0.30403510574365095,0,0.4969854898690436
52287,0,0.36749294449044057,0,0.4906655386960329
52317,0,0.36001384685417825,0,0.5379516234698138
52399,0,0.2807406130571718,0,0.46921775956140005
52320,0,0.33833084813242237,0,0.5139738280120904
52405,0,0.24147906689086213,0,0.48876025486171204
52323,0,0.36571903562582697,0,0.5200418309293647
52352,0,0.3593379920456368,0,0.512649861966155
52354,0,0.34798265914321835,0,0.510668009869558
52356,0,0.41122111758202473,0,0.4955109395007703
52227,0,0.3638030960040116,0,0.5636073636951391
52233,0,0.2677190724677687,0,0.5212203508613196
52256,0,0.2530237239238093,0,0.5033581600275777
52385,0,0.2888186130567327,0,0.5339735322562361
52418,0,0.2742350657084641,0,0.5348260688844108
52540,0,0.26651839034890307,0,0.508337555227736
52612,0,0.3320116564829868,0,0.5737850502357537
52079,0,0.3021445803585989,0,0.5863312607412668
52250,0,0.2114527298005077,0,0.544671618419826
52390,0,0.1824133593007555,0,0.5925372716836996
52427,0,0.24542865948204418,0,0.5734482913728375
52473,0,0.17956204040455162,0,0.6189929356671143
52490,0,0.19832722817368256,0,0.6023382003830821
52520,0,0.22308842226765493,0,0.6366870066315463
52621,0,0.24656947799539616,0,0.6123233685707293
52696,0,0.1968193500461253,0,0.5537594809953921
94001,0,0.07172899592358306,0.7418002390095496,0
94343,0,0.07245415343874351,0.5908060749297738,0
94663,0,0.13450755122956007,0.4511947685292067,0
94883,0,0.21480316421072865,0.9209903073707475,0
94884,0,0.17155845261849736,0.781612104515039,0
94885,0,0.307198301349117,0.975254432254971,0
94886,0,0.06351988651906568,0.8816683554869289,0
94887,0,0.2363047333642405,0.6364106139959702,0
94888,0,0.1821504049889316,0.5200433567089945,0
99624,0.11338816242385158,0,0.38986431835842944,0
99001,0.20373082794627378,0,0.7924795760255852,0
99524,0.17054837013846474,0,0.5568538916937642,0
99773,0.03789932686999598,0,0.5711391371696083,0
85001,0.14117456636241096,0,0.1322656553006431,0
85010,0.12888814588934086,0,0.08572911255516259,0
85015,0.13966894736759786,0,0.03493052177379197,0
85136,0.23973506322895569,0,0.11800789123574655,0
85139,0.08144274595051625,0,0.13951854252098114,0
85162,0.09888258057792754,0,0.037756992301183706,0
85225,0.17135114168578378,0,0.1588084342183271,0
85230,0.10666074991568435,0,0.23799609132344623,0
85263,0.18546971740557555,0,0.1855439964475659,0
85279,0.14331570803538937,0,0.050029352837776,0
85300,0.09570954142078866,0,0.013947895128818104,0
85315,0.22621043730702564,0,0.1398458738516381,0
85325,0.14002533361565453,0,0.2388289367889215,0
85400,0.20819750435446788,0,0.14146295463372238,0
85410,0.08372826756293285,0,0.07273683327259045,0
85430,0.15430934599592855,0,0.3028781391014989,0
85440,0.06590739492429806,0,0.04163805066954482,0
85125,0.23243830296429552,0,0.31213287293340525,0
85250,0.19776640484100586,0,0.35494930895516474,0
91001,0,0.9140018028483624,0.487148007381793,0
