id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto88,coddpto,departamento88,departamento,codmpio88,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
619880292,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15816,15816,TOGUI,Municipal,,994,RESTO DE VOTACION,,,1263,0
619880293,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15820,15820,TOPAGA,Municipal,18490002,1,HURTADO,RODRIGUEZ,HUMBERTO,498,1
619880293,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15820,15820,TOPAGA,Municipal,,994,RESTO DE VOTACION,,,466,0
619880294,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15822,15822,TOTA,Municipal,18480001,1,DIAZ,MARTINEZ,LUIS G,901,1
619880294,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15822,15822,TOTA,Municipal,,994,RESTO DE VOTACION,,,669,0
619880295,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15832,15832,TUNUNGUA,Municipal,18480001,1,PENA,CORTES,HELIODORO,398,1
619880295,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15832,15832,TUNUNGUA,Municipal,,994,RESTO DE VOTACION,,,1,0
619880296,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15835,15835,TURMEQUE,Municipal,18480001,1,JIMENEZ,GUERRA,GLORIA L,1225,1
619880296,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15835,15835,TURMEQUE,Municipal,,994,RESTO DE VOTACION,,,986,0
619880297,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15837,15837,TUTA,Municipal,19889999,1,GIL,CASTIBLANCO,ANA ISABEL,1017,1
619880297,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15837,15837,TUTA,Municipal,,994,RESTO DE VOTACION,,,1802,0
619880298,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15839,15839,TUTASA,Municipal,18490002,1,RINCON,CARVAJAL,PARMENIO,359,1
619880298,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15839,15839,TUTASA,Municipal,,994,RESTO DE VOTACION,,,334,0
619880299,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15842,15842,UMBITA,Municipal,18490002,1,AMAYA,CHACON,LUIS ALFREDO,2113,1
619880299,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15842,15842,UMBITA,Municipal,,994,RESTO DE VOTACION,,,379,0
619880300,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15861,15861,VENTAQUEMADA,Municipal,19889999,1,REINA,GONZALEZ,JORGE A,2111,1
619880300,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15861,15861,VENTAQUEMADA,Municipal,,994,RESTO DE VOTACION,,,1831,0
619880301,1988,Alcaldía Municipal,Marzo 13,15,15,BOYACÁ,BOYACA,15879,15879,VIRACACHA,Municipal,18490002,1,ARIAS,GALINDO,MANUEL A,518,1
