"codmpio","Petro","Duque","nomark","null","blank","vtotal","diff_top2","Duquep","Petrop","diff_top2p"
9372,61,39,NA,NA,11,111,-22,0.351351351351351,0.54954954954955,-0.198198198198198
9376,71,238,NA,NA,16,325,167,0.732307692307692,0.218461538461538,0.513846153846154
9380,907,1225,1,11,103,2247,318,0.545171339563863,0.403649310191366,0.141522029372497
9388,5,71,NA,NA,2,78,66,0.91025641025641,0.0641025641025641,0.846153846153846
9392,98,129,NA,NA,16,243,31,0.530864197530864,0.403292181069959,0.127572016460905
9404,13,11,NA,NA,2,26,-2,0.423076923076923,0.5,-0.0769230769230769
9410,54,37,NA,NA,8,99,-17,0.373737373737374,0.545454545454545,-0.171717171717172
9422,5,95,NA,NA,1,101,90,0.940594059405941,0.0495049504950495,0.891089108910891
9442,26,29,NA,NA,9,64,3,0.453125,0.40625,0.046875
9458,15,34,NA,NA,4,53,19,0.641509433962264,0.283018867924528,0.358490566037736
9484,2204,2559,1,5,236,5005,355,0.511288711288711,0.44035964035964,0.070929070929071
9504,14,6,NA,NA,1,21,-8,0.285714285714286,0.666666666666667,-0.380952380952381
9528,600,447,1,2,48,1098,-153,0.407103825136612,0.546448087431694,-0.139344262295082
9531,152,551,NA,3,17,723,399,0.76210235131397,0.210235131396957,0.551867219917012
9533,331,1893,NA,1,31,2256,1562,0.839095744680851,0.146719858156028,0.692375886524823
9554,372,187,NA,NA,41,600,-185,0.311666666666667,0.62,-0.308333333333333
9558,28,59,NA,NA,8,95,31,0.621052631578947,0.294736842105263,0.326315789473684
9578,130,37,NA,NA,12,179,-93,0.206703910614525,0.726256983240223,-0.519553072625698
9591,1227,4698,3,9,237,6174,3471,0.760932944606414,0.198736637512148,0.562196307094266
9600,54,134,NA,1,9,198,80,0.676767676767677,0.272727272727273,0.404040404040404
9604,628,1286,NA,6,114,2034,658,0.632251720747296,0.308751229105211,0.323500491642085
9608,27,36,NA,NA,3,66,9,0.545454545454545,0.409090909090909,0.136363636363636
9616,69,41,NA,1,NA,111,-28,0.369369369369369,0.621621621621622,-0.252252252252252
9620,145,117,NA,NA,20,282,-28,0.414893617021277,0.514184397163121,-0.099290780141844
9630,211,419,1,1,27,659,208,0.635811836115326,0.320182094081942,0.315629742033384
9643,96,34,NA,NA,3,133,-62,0.255639097744361,0.721804511278195,-0.466165413533835
9702,42,70,NA,NA,16,128,28,0.546875,0.328125,0.21875
9704,14,7,NA,NA,1,22,-7,0.318181818181818,0.636363636363636,-0.318181818181818
9710,40,53,NA,NA,7,100,13,0.53,0.4,0.13
9724,9515,14075,10,91,1112,24803,4560,0.567471676813289,0.383622948836834,0.183848727976454
9752,361,206,NA,NA,26,593,-155,0.347386172006745,0.608768971332209,-0.261382799325464
9756,945,799,NA,NA,89,1833,-146,0.435897435897436,0.515548281505728,-0.0796508456082924
9764,18,22,NA,NA,4,44,4,0.5,0.409090909090909,0.0909090909090909
9780,22,45,NA,NA,10,77,23,0.584415584415584,0.285714285714286,0.298701298701299
9784,174,925,NA,4,37,1140,751,0.81140350877193,0.152631578947368,0.658771929824561
9792,46,18,NA,NA,4,68,-28,0.264705882352941,0.676470588235294,-0.411764705882353
9818,21,13,NA,NA,5,39,-8,0.333333333333333,0.538461538461538,-0.205128205128205
9826,2105,2997,1,8,234,5345,892,0.560710944808232,0.393826005612722,0.16688493919551
9840,13677,91391,9,85,2753,107915,77714,0.846879488486309,0.126738636890145,0.720140851596164
9858,177,128,NA,1,17,323,-49,0.396284829721362,0.547987616099071,-0.151702786377709
9862,5298,27463,45,95,212,33113,22165,0.829372149910911,0.159997584030441,0.66937456588047
11001,1889050,1449092,1417,38322,200249,3578130,-439958,0.404985844561265,0.527943367066037,-0.122957522504772
13001,177075,130583,206,1398,7683,316945,-46492,0.412005237501775,0.558693148653552,-0.146687911151777
13006,1195,7101,11,25,49,8381,5906,0.847273595036392,0.142584417133994,0.704689177902398
13030,776,1794,5,19,28,2622,1018,0.684210526315789,0.295957284515637,0.388253241800153
13042,1014,1469,NA,18,28,2529,455,0.580862000790826,0.400948991696323,0.179913009094504
13052,12111,10665,25,215,465,23481,-1446,0.454197010348793,0.515778714705507,-0.061581704356714
13062,575,2769,6,24,23,3397,2194,0.815130997939358,0.169267000294377,0.645863997644981
13074,1070,3668,12,29,41,4820,2598,0.760995850622407,0.221991701244813,0.539004149377593
13140,2305,5098,20,84,98,7605,2793,0.67034845496384,0.303090072320842,0.367258382642998
13160,1698,1518,3,41,63,3323,-180,0.456816130003009,0.510984050556726,-0.0541679205537165
13188,1929,2427,10,25,34,4425,498,0.548474576271186,0.435932203389831,0.112542372881356
13212,3487,3446,18,25,66,7042,-41,0.489349616586197,0.495171826185743,-0.0058222095995456
13222,1638,2817,12,51,76,4594,1179,0.613191118850675,0.356552024379626,0.256639094471049
13244,6074,19296,35,197,312,25914,13222,0.744616809446631,0.23439067685421,0.510226132592421
13248,1095,2251,11,22,31,3410,1156,0.660117302052786,0.321114369501466,0.33900293255132
13268,853,1792,3,8,18,2674,939,0.670157068062827,0.318997756170531,0.351159311892296
13300,772,3530,8,23,29,4362,2758,0.809261806510775,0.176983035304906,0.632278771205869
13430,20322,22192,69,315,567,43465,1870,0.510571724375935,0.467548602323709,0.043023122052226
13433,2829,5731,10,52,87,8709,2902,0.658054885750373,0.32483637616259,0.333218509587783
13440,963,3092,8,9,25,4097,2129,0.754698559921894,0.235050036612155,0.519648523309739
13442,8291,7065,23,123,162,15664,-1226,0.451034218590398,0.529302860061287,-0.0782686414708886
13458,854,1917,3,13,42,2829,1063,0.67762460233298,0.301873453517144,0.375751148815836
13468,6379,8471,18,74,148,15090,2092,0.561365142478463,0.422730284956925,0.138634857521537
13473,1462,4619,15,52,93,6241,3157,0.740105752283288,0.234257330556001,0.505848421727287
13490,718,790,NA,21,28,1557,72,0.507385998715479,0.461143224149004,0.046242774566474
13549,1855,5520,9,45,37,7466,3665,0.739351727832842,0.248459683900348,0.490892043932494
13580,981,1215,4,15,11,2226,234,0.545822102425876,0.440700808625337,0.105121293800539
13600,997,2142,8,17,43,3207,1145,0.667913938260056,0.310882444652323,0.357031493607733
13620,1768,1374,3,9,38,3192,-394,0.430451127819549,0.553884711779449,-0.1234335839599
13647,2152,4802,14,38,77,7083,2650,0.677961315826627,0.303826062402937,0.37413525342369
13650,1144,2307,11,13,21,3496,1163,0.659897025171625,0.327231121281465,0.33266590389016
13654,3436,6770,15,71,97,10389,3334,0.651650784483588,0.330734430647801,0.320916353835788
13655,727,1955,3,28,26,2739,1228,0.713764147499087,0.265425337714494,0.448338809784593
13657,4361,10097,18,107,212,14795,5736,0.682460290638729,0.294761743832376,0.387698546806353
13667,1869,3070,9,17,52,5017,1201,0.611919473789117,0.372533386485948,0.239386087303169
13670,3326,5036,32,95,158,8647,1710,0.582398519717821,0.38464207239505,0.197756447322771
13673,2427,2223,9,22,56,4737,-204,0.469284357188094,0.512349588347055,-0.0430652311589614
13683,3184,2741,4,53,88,6070,-443,0.451565074135091,0.524546952224053,-0.0729818780889621
13688,1825,9174,27,125,351,11502,7349,0.797600417318727,0.158668057729091,0.638932359589637
13744,1560,3910,15,50,124,5659,2350,0.690934794133239,0.275667078989221,0.415267715144018
13760,2741,1121,4,6,54,3926,-1620,0.285532348446256,0.698166072338258,-0.412633723892002
13780,1545,3103,3,39,47,4737,1558,0.655055942579692,0.32615579480684,0.328900147772852
13810,1010,4002,10,30,46,5098,2992,0.785013730874853,0.198116908591605,0.586896822283248
13836,15272,11559,25,184,624,27664,-3713,0.417835454019665,0.552053209947947,-0.134217755928282
13838,3800,3185,5,25,118,7133,-615,0.446516192345437,0.532735174540866,-0.0862189821954297
13873,2057,4998,15,62,108,7240,2941,0.690331491712707,0.284116022099448,0.40621546961326
13894,3162,1190,10,30,49,4441,-1972,0.267957667192074,0.712001801396082,-0.444044134204008
15001,47404,28703,48,1387,3989,81531,-18701,0.35205014043738,0.581423017011934,-0.229372876574554
15022,184,718,1,5,19,927,534,0.774541531823085,0.19848975188781,0.576051779935275
15047,1212,6296,9,72,128,7717,5084,0.815861085914215,0.157055850719191,0.658805235195024
15051,1101,1530,11,55,87,2784,429,0.549568965517241,0.395474137931034,0.154094827586207
15087,1670,2007,8,79,131,3895,337,0.515275994865212,0.428754813863928,0.0865211810012837
15090,365,394,1,12,35,807,29,0.488228004956629,0.452292441140025,0.0359355638166047
15092,435,479,2,22,42,980,44,0.488775510204082,0.443877551020408,0.0448979591836735
15097,501,1984,7,24,76,2592,1483,0.765432098765432,0.193287037037037,0.572145061728395
15104,782,1319,4,29,50,2184,537,0.603937728937729,0.358058608058608,0.245879120879121
15106,188,1037,4,12,23,1264,849,0.820411392405063,0.14873417721519,0.671677215189873
15109,568,2081,2,24,26,2701,1513,0.770455386893743,0.210292484265087,0.560162902628656
15114,196,309,2,13,20,540,113,0.572222222222222,0.362962962962963,0.209259259259259
15131,513,1136,NA,16,58,1723,623,0.659315147997678,0.297736506094022,0.361578641903656
15135,232,980,NA,11,39,1262,748,0.776545166402536,0.183835182250396,0.592709984152139
15162,993,1113,3,45,70,2224,120,0.50044964028777,0.446492805755396,0.0539568345323742
15172,320,1227,4,12,48,1611,907,0.761638733705773,0.198634388578523,0.56300434512725
15176,9321,13505,13,361,1006,24206,4184,0.557919524084938,0.385069817400644,0.172849706684293
15180,222,1535,2,11,14,1784,1313,0.86042600896861,0.124439461883408,0.735986547085202
15183,448,2678,9,24,59,3218,2230,0.83219390926041,0.139216904909882,0.692977004350528
15185,398,2368,6,24,42,2838,1970,0.834390415785765,0.140239605355884,0.69415081042988
15187,758,770,2,25,51,1606,12,0.479452054794521,0.471980074719801,0.00747198007471978
15189,442,1754,5,17,70,2288,1312,0.766608391608392,0.193181818181818,0.573426573426573
15204,2604,2124,9,93,194,5024,-480,0.422770700636943,0.518312101910828,-0.0955414012738853
15212,239,1410,3,14,52,1718,1171,0.820721769499418,0.139115250291036,0.681606519208382
15215,674,618,4,23,55,1374,-56,0.449781659388646,0.490538573508006,-0.0407569141193596
15218,138,1392,2,8,23,1563,1254,0.890595009596929,0.0882917466410749,0.802303262955854
15223,1396,924,12,55,89,2476,-472,0.373182552504039,0.563812600969305,-0.190630048465267
15224,1131,804,2,32,52,2021,-327,0.397822859970312,0.559623948540327,-0.161801088570015
15226,342,657,1,6,26,1032,315,0.636627906976744,0.331395348837209,0.305232558139535
