id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto94,coddpto,departamento94,departamento,codmpio94,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules,codigo_partido_old
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,2335,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Departamental,,998,VOTOS NULOS,,,2016,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Departamental,,999,VOTOS EN BLANCO,,,431,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Departamental,18480001,2,URIBE,VELEZ,ALVARO,562,1,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,38,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Departamental,19940026,1,MESA,RAMIREZ,JORGE,234,0,45
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,366,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Departamental,,998,VOTOS NULOS,,,781,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Departamental,,999,VOTOS EN BLANCO,,,32,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Departamental,18480001,2,URIBE,VELEZ,ALVARO,874,1,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,41,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Departamental,19940026,1,MESA,RAMIREZ,JORGE,39,0,45
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,258,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Departamental,,998,VOTOS NULOS,,,468,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Departamental,,999,VOTOS EN BLANCO,,,83,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Departamental,18480001,2,URIBE,VELEZ,ALVARO,1201,1,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,43,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Departamental,19940026,1,MESA,RAMIREZ,JORGE,33,0,45
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,747,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Departamental,,998,VOTOS NULOS,,,445,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Departamental,,999,VOTOS EN BLANCO,,,195,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,ANTIOQUIA,Departamental,18480001,2,URIBE,VELEZ,ALVARO,1629,1,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,ANTIOQUIA,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,62,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,ANTIOQUIA,Departamental,19940026,1,MESA,RAMIREZ,JORGE,158,0,45
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,ANTIOQUIA,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,1434,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,ANTIOQUIA,Departamental,,998,VOTOS NULOS,,,1303,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,ANTIOQUIA,Departamental,,999,VOTOS EN BLANCO,,,324,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Departamental,18480001,2,URIBE,VELEZ,ALVARO,509,1,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,24,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Departamental,19940026,1,MESA,RAMIREZ,JORGE,31,0,45
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,72,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Departamental,,998,VOTOS NULOS,,,354,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Departamental,,999,VOTOS EN BLANCO,,,22,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Departamental,18480001,2,URIBE,VELEZ,ALVARO,1918,1,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,199,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Departamental,19940026,1,MESA,RAMIREZ,JORGE,112,0,45
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,3353,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Departamental,,998,VOTOS NULOS,,,1476,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Departamental,,999,VOTOS EN BLANCO,,,334,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Departamental,18480001,2,URIBE,VELEZ,ALVARO,2363,1,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,129,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Departamental,19940026,1,MESA,RAMIREZ,JORGE,39,0,45
