"FID_15t6","Pe_15t6","Du_15t6","vt_15t6","MV18_15t6","eCDF_15t6","el_c15","em_c15","cs_c15","cw_c15","el_c16","em_c16","cs_c16"
463,19913,8606,29328,-0.38554,0.0721282279608192,0,0.0160124666073019,0.0240186999109528,0,0,0,0
464,9291,3380,13110,-0.45088,0.0578806767586821,0,0.0128495102404274,0.0192742653606411,0,0,0,0
465,12665,13446,26828,0.02911,0.26179875333927,0,0.0581193232413179,0.0871789848619769,0,0,0,0
466,242474,192265,448947,-0.11184,0.191451469278718,0,0.0425022261798753,0.063753339269813,0,0,0,0
467,14573,8515,23687,-0.25575,0.126447016918967,0,0.0280712377560107,0.042106856634016,0,0,0,0
468,2275,5769,8198,0.4262,0.585040071237756,0,0.129878895814782,0.194818343722173,0,0,0,0
469,1354,3789,5234,0.46523,0.620658949243099,0,0.137786286731968,0.206679430097952,0,0,0,0
470,9787,5695,15937,-0.25676,0.1246660730187,0,0.0276758682101514,0.0415138023152271,0,0,0,0
471,3018,5074,8253,0.24912,0.420302760463045,0,0.0933072128227961,0.139960819234194,0,0,0,0
472,3450,5668,9361,0.23694,0.410507569011576,0,0.0911326803205699,0.136699020480855,0,0,0,0
473,20302,11660,32749,-0.26389,0.121994657168299,0,0.0270828138913624,0.0406242208370436,0,0,0,0
474,1417,3941,5492,0.45958,0.611754229741763,0,0.135809439002671,0.203714158504007,0,0,0,0
475,6083,3116,9444,-0.31417,0.0979519145146928,0,0.0217453250222618,0.0326179875333927,0,0,0,0
476,1047,1337,2430,0.11934,0.333036509349955,0,0.0739341050756901,0.110901157613535,0,0,0,0
477,4689,2230,7110,-0.34585,0.0845948352626892,0,0.018780053428317,0.0281700801424755,0,0,0,0
478,3146,4474,7779,0.17072,0.367764915405165,0,0.0816438112199466,0.12246571682992,0,0,0,0
479,8920,6838,16203,-0.12849,0.178984861976848,0,0.0397346393588602,0.0596019590382903,0,0,0,0
480,3287,5643,9150,0.25749,0.430097951914515,0,0.0954817453250223,0.143222617987533,0,0,0,0
481,6775,4725,11824,-0.17338,0.162956366874443,0,0.0361763134461264,0.0542644701691897,0,0,0,0
482,18560,14580,34111,-0.11668,0.188780053428317,0,0.0419091718610864,0.0628637577916296,0,0,0,0
483,1448,3888,5400,0.45185,0.604630454140695,0,0.134227960819234,0.201341941228851,0,0,0,0
484,7709,4387,12437,-0.26711,0.118432769367765,0,0.0262920747996438,0.0394381121994657,0,0,0,0
485,74273,42620,119908,-0.26398,0.121104185218166,0,0.0268851291184328,0.0403276936776492,0,0,0,0
486,1373,3108,4571,0.37957,0.537845057880677,0,0.11940160284951,0.179102404274265,0,0,0,0
487,3029,2188,5334,-0.15767,0.168299198575245,0,0.0373624220837044,0.0560436331255566,0,0,0,0
488,1986,2119,4237,0.03139,0.264470169189671,0,0.0587123775601069,0.0880685663401603,0,0,0,0
489,177075,130583,316945,-0.14669,0.171861086375779,0,0.038153161175423,0.0572297417631345,0,0,0,0
490,1195,7101,8381,0.70469,0.886910062333036,0,0.196894033837934,0.295341050756901,0,0,0,0
491,776,1794,2622,0.38825,0.547640249332146,0,0.121576135351736,0.182364203027605,0,0,0,0
492,1014,1469,2529,0.17991,0.375779162956367,0,0.0834229741763134,0.12513446126447,0,0,0,0
493,12111,10665,23481,-0.06158,0.214603739982191,0,0.0476420302760463,0.0714630454140695,0,0,0,0
494,575,2769,3397,0.64586,0.813891362422084,0,0.180683882457703,0.271025823686554,0,0,0,0
495,1070,3668,4820,0.539,0.695458593054319,0,0.154391807658059,0.231587711487088,0,0,0,0
496,2305,5098,7605,0.36726,0.525378450578807,0,0.116634016028495,0.174951024042743,0,0,0,0
497,1698,1518,3323,-0.05417,0.219056099732858,0,0.0486304541406946,0.0729456812110419,0,0,0,0
498,1929,2427,4425,0.11254,0.325912733748887,0,0.0723526268922529,0.108528940338379,0,0,0,0
499,3487,3446,7042,-0.00582,0.239536954585931,0,0.0531772039180766,0.0797658058771149,0,0,0,0
500,1638,2817,4594,0.25664,0.429207479964381,0,0.0952840605520926,0.142926090828139,0,0,0,0
501,6074,19296,25914,0.51023,0.672306322350846,0,0.149252003561888,0.223878005342832,0,0,0,0
502,1095,2251,3410,0.339,0.495992876224399,0,0.110110418521817,0.165165627782725,0,0,0,0
503,853,1792,2674,0.35116,0.504897595725735,0,0.112087266251113,0.16813089937667,0,0,0,0
504,2829,5731,8709,0.33322,0.493321460373998,0,0.109517364203028,0.164276046304541,0,0,0,0
505,963,3092,4097,0.51965,0.680320569902048,0,0.151031166518255,0.226546749777382,0,0,0,0
506,8291,7065,15664,-0.07827,0.206589492430988,0,0.0458628673196794,0.0687943009795191,0,0,0,0
507,854,1917,2829,0.37575,0.534283170080142,0,0.118610863757792,0.177916295636687,0,0,0,0
508,6379,8471,15090,0.13863,0.350845948352627,0,0.0778878005342832,0.116831700801425,0,0,0,0
509,1462,4619,6241,0.50585,0.667853962600178,0,0.14826357969724,0.222395369545859,0,0,0,0
510,718,790,1557,0.04624,0.276046304541407,0,0.0612822796081923,0.0919234194122885,0,0,0,0
511,1855,5520,7466,0.49089,0.652715939447907,0,0.144902938557435,0.217354407836153,0,0,0,0
512,981,1215,2226,0.10512,0.320569902048085,0,0.071166518254675,0.106749777382012,0,0,0,0
513,997,2142,3207,0.35703,0.514692787177204,0,0.114261798753339,0.171392698130009,0,0,0,0
514,1768,1374,3192,-0.12343,0.179875333926981,0,0.0399323241317898,0.0598984861976848,0,0,0,0
515,2152,4802,7083,0.37414,0.531611754229742,0,0.118017809439003,0.177026714158504,0,0,0,0
516,3436,6770,10389,0.32092,0.482635796972395,0,0.107145146927872,0.160717720391808,0,0,0,0
517,727,1955,2739,0.44834,0.601959038290294,0,0.133634906500445,0.200452359750668,0,0,0,0
518,4361,10097,14795,0.3877,0.546749777382012,0,0.121378450578807,0.18206767586821,0,0,0,0
519,1869,3070,5017,0.23939,0.413178984861977,0,0.0917257346393589,0.137588601959038,0,0,0,0
520,3326,5036,8647,0.19776,0.383793410507569,0,0.0852021371326803,0.12780320569902,0,0,0,0
521,2427,2223,4737,-0.04307,0.225289403383793,0,0.0500142475512021,0.0750213713268032,0,0,0,0
522,3184,2741,6070,-0.07298,0.209260908281389,0,0.0464559216384684,0.0696838824577026,0,0,0,0
523,1825,9174,11502,0.63893,0.801424755120214,0,0.177916295636687,0.266874443455031,0,0,0,0
524,1560,3910,5659,0.41527,0.569902048085485,0,0.126518254674978,0.189777382012467,0,0,0,0
525,2741,1121,3926,-0.41263,0.0658949243098842,0,0.0146286731967943,0.0219430097951915,0,0,0,0
526,1545,3103,4737,0.3289,0.490650044523598,0,0.108924309884239,0.163386464826358,0,0,0,0
527,1010,4002,5098,0.5869,0.755120213713268,0,0.167636687444345,0.251455031166518,0,0,0,0
528,15272,11559,27664,-0.13422,0.175422974176313,0,0.0389439002671416,0.0584158504007124,0,0,0,0
529,3800,3185,7133,-0.08622,0.203918076580588,0,0.0452698130008905,0.0679047195013357,0,0,0,0
530,2057,4998,7240,0.40622,0.56366874443455,0,0.12513446126447,0.187701691896705,0,0,0,0
531,3162,1190,4441,-0.44404,0.0596616206589492,0,0.0132448797862867,0.0198673196794301,0,0,0,0
532,3003,4422,7560,0.1877,0.379341050756901,0,0.0842137132680321,0.126320569902048,0,0,0,0
533,5950,7296,13553,0.09931,0.319679430097952,0,0.0709688334817453,0.106453250222618,0,0,0,0
534,3942,6815,10959,0.26216,0.433659839715049,0,0.0962724844167409,0.144408726625111,0,0,0,0
535,5386,5414,11022,0.00254,0.247551202137133,0,0.0549563668744435,0.0824345503116652,0,0,0,0
536,6082,6458,12982,0.02896,0.260908281389136,0,0.0579216384683882,0.0868824577025824,0,0,0,0
537,5852,4795,10868,-0.09726,0.198575244879786,0,0.0440837043633126,0.0661255565449688,0,0,0,0
538,7883,3990,12128,-0.32099,0.0961709706144256,0,0.0213499554764025,0.0320249332146037,0,0,0,0
539,1549,3504,5208,0.37538,0.533392698130009,0,0.118413178984862,0.177619768477293,0,0,0,0
540,423,1254,1802,0.46115,0.616206589492431,0,0.13679786286732,0.20519679430098,0,0,0,0
541,1989,3908,6050,0.31719,0.479073909171861,0,0.106354407836153,0.15953161175423,0,0,0,0
542,9399,5104,15093,-0.28457,0.109528049866429,0,0.0243152270703473,0.0364728406055209,0,0,0,0
543,1776,2384,4253,0.14296,0.354407836153161,0,0.0786785396260018,0.118017809439003,0,0,0,0
544,2920,4323,7570,0.18534,0.377560106856634,0,0.0838183437221727,0.125727515583259,0,0,0,0
545,1907,4985,7122,0.43218,0.590382902938557,0,0.13106500445236,0.19659750667854,0,0,0,0
546,2040,6073,8412,0.47943,0.634906500445236,0,0.140949243098842,0.211423864648264,0,0,0,0
547,3997,5599,9994,0.1603,0.362422083704363,0,0.0804577025823687,0.120686553873553,0,0,0,0
548,2733,4663,7620,0.25328,0.427426536064114,0,0.0948886910062333,0.14233303650935,0,0,0,0
549,2204,2656,4941,0.09148,0.310774710596616,0,0.0689919857524488,0.103487978628673,0,0,0,0
