MPIO_CDPMP,AREA,n,total.len,total.roads,total.major,m_per_m2_all,m_per_m2_roads,m_per_m2_major
52083,41845405.6464,75,49549.3417140423,49549.3417140423,75,0.0011841047051315914,0.0011841047051315914,1.7923114578876672e-6
52110,635960832.729,426,399725.9825195561,384752.30818607664,426,6.285386802899073e-4,6.049937171996093e-4,6.698525727944162e-7
52203,61750529.2736,104,120564.86451178482,120564.86451178482,104,0.0019524507065776604,0.0019524507065776604,1.6841960906797083e-6
52480,25312814.7016,109,46227.31935733319,46227.31935733319,109,0.0018262417634025978,0.0018262417634025978,4.306119303007034e-6
52506,64843211.6989,128,97567.32293008451,97567.32293008451,128,0.0015046651819644468,0.0015046651819644468,1.9739922907330543e-6
52720,115548510.72,197,144275.79310038814,142894.5803023532,197,0.0012486166390322485,0.0012366631072261837,1.7049116321141972e-6
52786,234657834.969,372,230373.59893457044,229534.78257174365,372,9.817426252356092e-4,9.781679891577746e-4,1.5852869351204227e-6
52788,217959766.134,354,266677.9344547657,266677.9344547657,354,0.0012235190887973982,0.0012235190887973982,1.6241529630856894e-6
52240,146271761.113,690,293747.7889171311,293022.390109894,690,0.0020082330771296363,0.0020032738231921883,4.717246820231768e-6
52254,119857444.338,150,126781.9291536663,126781.9291536663,150,0.0010577726719763782,0.0010577726719763782,1.2514867209832832e-6
52258,306902610.456,159,128710.501428441,128710.501428441,159,4.1938548921822863e-4,4.1938548921822863e-4,5.180796597453364e-7
52838,216272349.259,752,427496.0760607622,427306.2603054333,752,0.00197665618154824,0.001975778511536427,3.4770972922638013e-6
52411,135663446.799,196,157688.60900004877,157065.40179103357,196,0.001162351486127884,0.0011577577121694607,1.4447517339758815e-6
52885,102735156.155,159,130193.95111069921,130193.95111069921,159,0.0012672774927627618,0.0012672774927627618,1.547668840451377e-6
52435,569045453.542,103,132584.01770028516,132551.86923209403,103,2.329937211079034e-4,2.3293722567684246e-4,1.8100487291284154e-7
52378,238846319.176,272,167046.42279578632,167046.42279578632,272,6.993887256545657e-4,6.993887256545657e-4,1.1388075853058044e-6
52381,136312920.256,228,198338.85863442707,198338.85863442707,228,0.0014550261138998443,0.0014550261138998443,1.6726220784633528e-6
52260,247352734.441,262,258446.89588046545,258446.89588046545,262,0.0010448515819505189,0.0010448515819505189,1.0592161052599714e-6
52287,394762356.632,151,126280.6576939941,125433.19758176661,151,3.1989032280429347e-4,3.1774356261302854e-4,3.8250860920045414e-7
52317,155666896.536,359,284792.1529086299,284512.3030156779,359,0.0018294972100427788,0.0018276994617791502,2.3062064445858373e-6
52399,142152377.309,334,247466.69944750308,247432.90565527332,334,0.0017408551593166737,0.0017406174299668768,2.3495913773849615e-6
52320,116739782.41,270,198616.1957718143,198616.1957718143,270,0.0017013582831108714,0.0017013582831108714,2.312836245074855e-6
52405,310420445.829,161,217696.7318406612,216548.2552706649,161,7.012963700225561e-4,6.97596624772435e-4,5.186514038082704e-7
52323,29961865.6764,156,60238.2392078931,60238.2392078931,156,0.002010496938291157,0.002010496938291157,5.206618362316343e-6
52352,80531538.4064,254,177142.31854542438,177142.31854542438,254,0.002199663908709666,0.002199663908709666,3.154043807262151e-6
52354,81729864.9813,236,135155.59689560265,135155.59689560265,236,0.001653686775654488,0.001653686775654488,2.887561359045404e-6
52356,1571751754.58,2361,745640.9942861932,744998.0769342275,2361,4.744012482336574e-4,4.739922031347146e-4,1.5021456111756663e-6
52227,915327641.459,425,443509.5114019011,441216.78159124724,425,4.845363466735939e-4,4.8203152795425606e-4,4.643146134236315e-7
52233,355166976.952,220,247241.66168452165,243055.43801616516,220,6.961279559443269e-4,6.84341320530522e-4,6.194269576749882e-7
52256,520291550.267,191,272183.8151879856,270255.5514995894,191,5.231371046643137e-4,5.194309831879863e-4,3.6710186798533203e-7
52385,244998283.889,62,72543.47923448772,72543.47923448772,62,2.960979076382208e-4,2.960979076382208e-4,2.5306299707833867e-7
52418,956869538.073,155,224063.54985166248,219749.47163550043,155,2.3416311308529562e-4,2.2965457974348814e-4,1.6198655494054925e-7
