"MPIO_CDPMP","discap4t5","disbog4t5","eCDF_4t5","el_c4t5","em_c4t5","cs_c4t5","cw_c4t5","FID_4t5"
"05652",84.7278213500977,187.191284179688,0.2825311942959,0.105949197860963,0,0,0.16951871657754,361
"05656",20.2071380615234,284.144287109375,0.508021390374332,0.190508021390374,0,0,0.304812834224599,360
"05658",59.9307632446289,314.909240722656,0.56951871657754,0.213569518716578,0,0,0.341711229946524,359
"05659",286.171966552734,543.809448242188,0.85204991087344,0.31951871657754,0,0,0.511229946524064,358
"05660",79.6015014648438,200.428039550781,0.311051693404635,0.116644385026738,0,0,0.186631016042781,357
"05664",23.1575565338135,275.381683349609,0.491978609625668,0.184491978609626,0,0,0.295187165775401,356
"05665",251.55110168457,507.963836669922,0.804812834224599,0.301804812834225,0,0,0.482887700534759,355
"05667",74.7208404541016,231.181869506836,0.383244206773619,0.143716577540107,0,0,0.229946524064171,354
"05670",83.7850952148438,238.44807434082,0.401960784313726,0.150735294117647,0,0,0.241176470588235,353
"05674",35.575138092041,246.531646728516,0.422459893048128,0.158422459893048,0,0,0.253475935828877,352
"05679",48.3552932739258,223.651489257812,0.366310160427808,0.137366310160428,0,0,0.219786096256684,328
"05686",46.4092254638672,285.265960693359,0.510695187165775,0.191510695187166,0,0,0.306417112299465,327
"05690",62.5406608581543,251.48908996582,0.435828877005348,0.163435828877005,0,0,0.261497326203209,326
"05697",48.6467056274414,224.196212768555,0.368092691622103,0.138034759358289,0,0,0.220855614973262,325
"05736",157.230056762695,322.875274658203,0.581105169340463,0.217914438502674,0,0,0.348663101604278,324
"05756",89.2596130371094,177.030838012695,0.262923351158645,0.098596256684492,0,0,0.157754010695187,323
"05761",28.0944194793701,291.932922363281,0.528520499108734,0.198195187165775,0,0,0.317112299465241,322
"05789",65.8885879516602,220.763656616211,0.358288770053476,0.134358288770053,0,0,0.214973262032086,321
"05790",131.793960571289,361.296661376953,0.638146167557932,0.239304812834225,0,0,0.382887700534759,320
"05792",49.9643974304199,244.21240234375,0.414438502673797,0.155414438502674,0,0,0.248663101604278,319
"05809",29.5269432067871,256.529541015625,0.446524064171123,0.167446524064171,0,0,0.267914438502674,318
"05819",81.2906646728516,336.045989990234,0.605169340463458,0.226938502673797,0,0,0.363101604278075,317
"05837",228.058380126953,491.658935546875,0.783422459893048,0.293783422459893,0,0,0.470053475935829,316
"05842",88.9004364013672,353.192474365234,0.626559714795009,0.234959893048128,0,0,0.375935828877005,315
"05847",78.7803802490234,326.052551269531,0.587344028520499,0.220254010695187,0,0,0.352406417112299,401
"05854",118.37850189209,349.710754394531,0.625668449197861,0.234625668449198,0,0,0.375401069518717,314
"05856",70.2276382446289,211.605895996094,0.331550802139037,0.124331550802139,0,0,0.198930481283422,313
"05858",117.906944274902,277.263549804688,0.498217468805704,0.186831550802139,0,0,0.298930481283422,312
"05861",37.5554847717285,247.530685424805,0.424242424242424,0.159090909090909,0,0,0.254545454545455,311
"05873",122.474746704102,363.509552001953,0.642602495543672,0.240975935828877,0,0,0.385561497326203,403
"05885",108.796798706055,264.592712402344,0.466131907308378,0.174799465240642,0,0,0.279679144385027,310
"05887",82.9778442382812,320.919891357422,0.579322638146168,0.217245989304813,0,0,0.347593582887701,309
"05890",95.6806182861328,260.022308349609,0.452762923351159,0.169786096256685,0,0,0.271657754010695,308
"05893",156.362045288086,269.280822753906,0.480392156862745,0.180147058823529,0,0,0.288235294117647,307
"05895",161.766616821289,354.463500976562,0.628342245989305,0.235628342245989,0,0,0.377005347593583,306
"08001",0,735.685791015625,0.980392156862745,0.367647058823529,0,0,0.588235294117647,466
"08078",26.7045860290527,711.174133300781,0.971479500891266,0.364304812834225,0,0,0.582887700534759,467
"08137",67.745002746582,668.950500488281,0.936720142602496,0.351270053475936,0,0,0.562032085561497,468
"08141",56.9854736328125,679.431884765625,0.945632798573975,0.354612299465241,0,0,0.567379679144385,469
"08296",13.7876758575439,723.098205566406,0.976827094474153,0.366310160427808,0,0,0.586096256684492,470
"08372",32.7035179138184,718.225646972656,0.973262032085562,0.364973262032086,0,0,0.583957219251337,471
"08421",53.9962425231934,697.224792480469,0.96078431372549,0.360294117647059,0,0,0.576470588235294,472
"08433",18.3288726806641,717.607177734375,0.972370766488414,0.364639037433155,0,0,0.583422459893048,473
"08436",62.7042503356934,675.948486328125,0.943850267379679,0.35394385026738,0,0,0.566310160427807,474
"08520",37.066967010498,698.779113769531,0.961675579322638,0.360628342245989,0,0,0.577005347593583,475
