"MPIO_CDPMP","REGION","CÓDIGO DANE DEL DEPARTAMENTO","DEPARTAMENTO","mpio","MUNICIPIO","cdir6t9","el_t6t9","em_t6t9","cs_t6t9","cw_t6t9","FID_6t9"
"05318","Región Eje Cafetero - Antioquia",5,"Antioquia",5.318,"Guarne","North",0.25,0.222,0.333,0.1,393
"05321","Región Eje Cafetero - Antioquia",5,"Antioquia",5.321,"Guatapé","North",0.25,0.222,0.333,0.1,392
"05347","Región Eje Cafetero - Antioquia",5,"Antioquia",5.347,"Heliconia","North",0.25,0.222,0.333,0.1,391
"05353","Región Eje Cafetero - Antioquia",5,"Antioquia",5.353,"Hispania","North",0.25,0.222,0.333,0.1,390
"05360","Región Eje Cafetero - Antioquia",5,"Antioquia",5.36,"Itagui","North",0.25,0.222,0.333,0.1,389
"05361","Región Eje Cafetero - Antioquia",5,"Antioquia",5.361,"Ituango","North",0.25,0.222,0.333,0.1,400
"05364","Región Eje Cafetero - Antioquia",5,"Antioquia",5.364,"Jardín","North",0.25,0.222,0.333,0.1,388
"05368","Región Eje Cafetero - Antioquia",5,"Antioquia",5.368,"Jericó","North",0.25,0.222,0.333,0.1,387
"05376","Región Eje Cafetero - Antioquia",5,"Antioquia",5.376,"La Ceja","North",0.25,0.222,0.333,0.1,386
"05380","Región Eje Cafetero - Antioquia",5,"Antioquia",5.38,"La Estrella","North",0.25,0.222,0.333,0.1,1121
"05390","Región Eje Cafetero - Antioquia",5,"Antioquia",5.39,"La Pintada","North",0.25,0.222,0.333,0.1,385
"05400","Región Eje Cafetero - Antioquia",5,"Antioquia",5.4,"La Unión","North",0.25,0.222,0.333,0.1,384
"05411","Región Eje Cafetero - Antioquia",5,"Antioquia",5.411,"Liborina","North",0.25,0.222,0.333,0.1,383
"05425","Región Eje Cafetero - Antioquia",5,"Antioquia",5.425,"Maceo","North",0.25,0.222,0.333,0.1,382
"05440","Región Eje Cafetero - Antioquia",5,"Antioquia",5.44,"Marinilla","North",0.25,0.222,0.333,0.1,381
"05467","Región Eje Cafetero - Antioquia",5,"Antioquia",5.467,"Montebello","North",0.25,0.222,0.333,0.1,380
"05475","Región Eje Cafetero - Antioquia",5,"Antioquia",5.475,"Murindó","North",0.25,0.222,0.333,0.1,402
"05480","Región Eje Cafetero - Antioquia",5,"Antioquia",5.48,"Mutatá","North",0.25,0.222,0.333,0.1,379
"05483","Región Eje Cafetero - Antioquia",5,"Antioquia",5.483,"Nariño","North",0.25,0.222,0.333,0.1,378
"05490","Región Eje Cafetero - Antioquia",5,"Antioquia",5.49,"Necoclí","North",0.25,0.222,0.333,0.1,377
"05495","Región Eje Cafetero - Antioquia",5,"Antioquia",5.495,"Nechí","North",0.25,0.222,0.333,0.1,376
"05501","Región Eje Cafetero - Antioquia",5,"Antioquia",5.501,"Olaya","North",0.25,0.222,0.333,0.1,375
"05541","Región Eje Cafetero - Antioquia",5,"Antioquia",5.541,"Peñol","North",0.25,0.222,0.333,0.1,374
"05543","Región Eje Cafetero - Antioquia",5,"Antioquia",5.543,"Peque","North",0.25,0.222,0.333,0.1,373
"05576","Región Eje Cafetero - Antioquia",5,"Antioquia",5.576,"Pueblorrico","North",0.25,0.222,0.333,0.1,372
"05579","Región Eje Cafetero - Antioquia",5,"Antioquia",5.579,"Puerto Berrío","North",0.25,0.222,0.333,0.1,371
"05585","Región Eje Cafetero - Antioquia",5,"Antioquia",5.585,"Puerto Nare","North",0.25,0.222,0.333,0.1,370
"05591","Región Eje Cafetero - Antioquia",5,"Antioquia",5.591,"Puerto Triunfo","North",0.25,0.222,0.333,0.1,369
"05604","Región Eje Cafetero - Antioquia",5,"Antioquia",5.604,"Remedios","North",0.25,0.222,0.333,0.1,368
"05607","Región Eje Cafetero - Antioquia",5,"Antioquia",5.607,"Retiro","North",0.25,0.222,0.333,0.1,367
"05615","Región Eje Cafetero - Antioquia",5,"Antioquia",5.615,"Rionegro","North",0.25,0.222,0.333,0.1,366
"05628","Región Eje Cafetero - Antioquia",5,"Antioquia",5.628,"Sabanalarga","North",0.25,0.222,0.333,0.1,365
"05631","Región Eje Cafetero - Antioquia",5,"Antioquia",5.631,"Sabaneta","North",0.25,0.222,0.333,0.1,1120
"05642","Región Eje Cafetero - Antioquia",5,"Antioquia",5.642,"Salgar","North",0.25,0.222,0.333,0.1,364
"05647","Región Eje Cafetero - Antioquia",5,"Antioquia",5.647,"San Andrés de Cuerquía","North",0.25,0.222,0.333,0.1,363
"05649","Región Eje Cafetero - Antioquia",5,"Antioquia",5.649,"San Carlos","North",0.25,0.222,0.333,0.1,362
"05652","Región Eje Cafetero - Antioquia",5,"Antioquia",5.652,"San Francisco","North",0.25,0.222,0.333,0.1,361
