id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto94,coddpto,departamento94,departamento,codmpio94,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules,nombre_partido
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Nacional,19940006,1,PASTRANA,ARANGO,ANDRES,1943,0,ANDRES PRESIDENTE
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Nacional,18480001,2,SAMPER,PIZANO,ERNESTO,3735,1,PARTIDO LIBERAL COLOMBIANO
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Nacional,,998,VOTOS NULOS,,,54,0,
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5045,5045,APARTADO,Nacional,,999,VOTOS EN BLANCO,,,129,0,
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Nacional,19940006,1,PASTRANA,ARANGO,ANDRES,853,0,ANDRES PRESIDENTE
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Nacional,18480001,2,SAMPER,PIZANO,ERNESTO,2852,1,PARTIDO LIBERAL COLOMBIANO
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Nacional,,998,VOTOS NULOS,,,58,0,
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5051,5051,ARBOLETES,Nacional,,999,VOTOS EN BLANCO,,,29,0,
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Nacional,19940006,1,PASTRANA,ARANGO,ANDRES,1868,0,ANDRES PRESIDENTE
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Nacional,18480001,2,SAMPER,PIZANO,ERNESTO,337,1,PARTIDO LIBERAL COLOMBIANO
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Nacional,,998,VOTOS NULOS,,,19,0,
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5055,5055,ARGELIA,Nacional,,999,VOTOS EN BLANCO,,,10,0,
