"FID","MPIO_CDPMP","DPTO_CCDGO","MPIO_CCDGO","MPIO_CNMBR","VERSION","AREA","LATITUD","LONGITUD","depto","provincia","indrural","CDF_0t1","el_c0","em_c0","cs_c0","cw_c0","el_c1","em_c1","cs_c1","cw_c1","el_d0","el_d1","em_d0","em_d1","cs_d0","cs_d1","cw_d0","cw_d1","VAM18_2t3","FID_2t3","PBID18_2t3","eCDF_2t3d","eCDF_2t3m","el_c2d","em_c2d","cs_c2d","cw_c2d","el_c3d","em_c3d","cs_c3d","cw_c3d","el_c2m","em_c2m","cs_c2m","cw_c2m","el_c3m","em_c3m","cs_c3m","cw_c3m","discapital","disbogota","eCDF_4t5","el_c4t5","em_c4t5","cs_c4t5","cw_c4t5","REGION","CÓDIGO DANE DEL DEPARTAMENTO","DEPARTAMENTO","mpio","MUNICIPIO","cdir6t9","el_t6t9","em_t6t9","cs_t6t9","cw_t6t9","m1_t6t9","m2_t6t9","Petro","Duque","nomark","null","blank","vtotal","MOV_top2","Duque_pct","Petro_pct","MOV_pct","eCDF_15t6","el_c15","em_c15","cs_c15","cw_c15","el_c16","em_c16","cs_c16","cw_c16","el_i","em_i","cs_i","cw_i"
525,"13760","13","760","SOPLAVIENTO",2018,92604134.3713,10.3320903135,-75.1169922568,"Bolívar","Dique bolivarense",0.0183098595589399,0.507304169002385,0.443891147877087,0,0,0.507304169002385,0.0634130211252981,0.507304169002385,0.45099340624312,0,NA,0.125,NA,1,NA,0.889,NA,0,64.3171296445031,525,35410.2862084588,0.623686723973257,0.231729055258467,0.5457258834766,0.0692292263610315,0,0.623686723973257,0.0779608404966571,0.415999044890162,0.623686723973257,0,0.202762923351159,0.0257219251336898,0,0.231729055258467,0.0289661319073084,0.154563279857398,0.231729055258467,0,42.9085807800293,665.967224121094,0.9349376114082,0.350601604278075,0,0,0.56096256684492,"Región Caribe",13,"Bolívar",13.76,"Soplaviento","North",0.25,0.222,0.333,0.1,0.175,0.2775,2741,1121,4,6,54,3926,-1620,0.285532348446256,0.698166072338258,-0.412633723892002,0.0658949243098842,0,0.0146286731967943,0.0219430097951915,0,0,0,0,0.00658949243098842,0.167454353567366,0.115527255898783,0.129708183912097,0.175823160442095
526,"13780","13","780","TALAIGUA NUEVO",2018,249305151.303,9.31344655777,-74.6401021565,"Bolívar","Depresión momposina",0.521055817604065,0.698836055927638,0.611481548936683,0,0,0.698836055927638,0.0873545069909547,0.698836055927638,0.62126525371967,0,0.875,NA,0,NA,0,NA,1,NA,128.431248302696,526,35410.2862084588,0.623686723973257,0.470588235294118,0.5457258834766,0.0692292263610315,0,0.623686723973257,0.0779608404966571,0.415999044890162,0.623686723973257,0,0.411764705882353,0.0522352941176471,0,0.470588235294118,0.0588235294117647,0.313882352941177,0.470588235294118,0,151.094985961914,547.695922851562,0.863636363636364,0.323863636363636,0,0,0.518181818181818,"Región Caribe",13,"Bolívar",13.78,"Talaigua Nuevo","North",0.25,0.222,0.333,0.1,0.175,0.2775,1545,3103,3,39,47,4737,1558,0.655055942579692,0.32615579480684,0.328900147772852,0.490650044523598,0,0.108924309884239,0.163386464826358,0,0,0,0,0.0490650044523598,0.217910990948174,0.174484751608838,0.198529994230018,0.229583889231992
527,"13810","13","810","TIQUISIO",2018,762808778.014,8.49234517566,-74.2967613867,"Bolívar","Bolivarense",0.658053755760193,0.744748205143177,0.65165467950028,0,0,0.744748205143177,0.0930935256428971,0.744748205143177,0.662081154372284,0,0.875,NA,0,NA,0,NA,1,NA,159.0116837104,527,35410.2862084588,0.623686723973257,0.552584670231729,0.5457258834766,0.0692292263610315,0,0.623686723973257,0.0779608404966571,0.415999044890162,0.623686723973257,0,0.483511586452763,0.0613368983957219,0,0.552584670231729,0.0690730837789661,0.368573975044563,0.552584670231729,0,244.412948608398,458.800415039062,0.745098039215686,0.279411764705882,0,0,0.447058823529412,"Región Caribe",13,"Bolívar",13.81,"Tiquisio","North",0.25,0.222,0.333,0.1,0.175,0.2775,1010,4002,10,30,46,5098,2992,0.785013730874853,0.198116908591605,0.586896822283248,0.755120213713268,0,0.167636687444345,0.251455031166518,0,0,0,0,0.0755120213713268,0.228343080010099,0.195536970753476,0.224890106971316,0.239987965034456
528,"13836","13","836","TURBACO",2018,201981142.449,10.3531075642,-75.3797154105,"Bolívar","Dique bolivarense",0.0748530924320221,0.529834200693369,0.463604925606698,0,0,0.529834200693369,0.0662292750866711,0.529834200693369,0.471022604416405,0,NA,0.125,NA,1,NA,0.889,NA,0,955.867007301406,528,35410.2862084588,0.623686723973257,0.898395721925134,0.5457258834766,0.0692292263610315,0,0.623686723973257,0.0779608404966571,0.415999044890162,0.623686723973257,0,0.786096256684492,0.0997219251336898,0,0.898395721925134,0.112299465240642,0.599229946524064,0.898395721925134,0,16.8443489074707,672.902526855469,0.940285204991087,0.352606951871658,0,0,0.564171122994652,"Región Caribe",13,"Bolívar",13.836,"Turbaco","North",0.25,0.222,0.333,0.1,0.175,0.2775,15272,11559,25,184,624,27664,-3713,0.417835454019665,0.552053209947947,-0.134217755928282,0.175422974176313,0,0.0389439002671416,0.0584158504007124,0,0,0,0,0.0175422974176313,0.25385460931127,0.186216246577283,0.220104272092781,0.263742917878848
529,"13838","13","838","TURBANÁ",2018,191155151.356,10.2160468099,-75.4703776476,"Bolívar","Dique bolivarense",0.242333725094795,0.595739208218299,0.521271807191012,0,0,0.595739208218299,0.0744674010272874,0.595739208218299,0.529612156106068,0,NA,0.125,NA,1,NA,0.889,NA,0,127.553884143453,529,35410.2862084588,0.623686723973257,0.467914438502674,0.5457258834766,0.0692292263610315,0,0.623686723973257,0.0779608404966571,0.415999044890162,0.623686723973257,0,0.40942513368984,0.0519385026737968,0,0.467914438502674,0.0584893048128342,0.312098930481283,0.467914438502674,0,18.7618865966797,660.658996582031,0.933155080213904,0.349933155080214,0,0,0.559893048128342,"Región Caribe",13,"Bolívar",13.838,"Turbaná","North",0.25,0.222,0.333,0.1,0.175,0.2775,3800,3185,5,25,118,7133,-615,0.446516192345437,0.532735174540866,-0.0862189821954297,0.203918076580588,0,0.0452698130008905,0.0679047195013357,0,0,0,0,0.0203918076580588,0.207948350225148,0.153380806796784,0.17480391426376,0.217992312813422
530,"13873","13","873","VILLANUEVA",2018,137126414.002,10.4449131983,-75.2673627543,"Bolívar","Dique bolivarense",0.126508817076683,0.550335414947737,0.48154348807927,0,0,0.550335414947737,0.0687919268684671,0.550335414947737,0.489248183888538,0,NA,0.125,NA,1,NA,0.889,NA,0,201.018405751418,530,35410.2862084588,0.623686723973257,0.626559714795009,0.5457258834766,0.0692292263610315,0,0.623686723973257,0.0779608404966571,0.415999044890162,0.623686723973257,0,0.548239750445633,0.069548128342246,0,0.626559714795009,0.0783199643493761,0.417915329768271,0.626559714795009,0,26.4459991455078,680.806640625,0.949197860962567,0.355949197860963,0,0,0.56951871657754,"Región Caribe",13,"Bolívar",13.873,"Villanueva","North",0.25,0.222,0.333,0.1,0.175,0.2775,2057,4998,15,62,108,7240,2941,0.690331491712707,0.284116022099448,0.40621546961326,0.56366874443455,0,0.12513446126447,0.187701691896705,0,0,0,0,0.056366874443455,0.222855540950464,0.17311666679034,0.204563698822532,0.237847590095468
531,"13894","13","894","ZAMBRANO",2018,309153209.997,9.74514702097,-74.8806703673,"Bolívar","Montes de maría",0.115572392940521,0.546004278249908,0.47775374346867,0,0,0.546004278249908,0.0682505347812385,0.546004278249908,0.485397803364168,0,NA,0.125,NA,1,NA,0.889,NA,0,110.262144673966,531,35410.2862084588,0.623686723973257,0.420677361853832,0.5457258834766,0.0692292263610315,0,0.623686723973257,0.0779608404966571,0.415999044890162,0.623686723973257,0,0.368092691622103,0.0466951871657754,0,0.420677361853832,0.0525846702317291,0.280591800356506,0.420677361853832,0,98.8513412475586,598.788818359375,0.902852049910873,0.338569518716578,0,0,0.541711229946524,"Región Caribe",13,"Bolívar",13.894,"Zambrano","North",0.25,0.222,0.333,0.1,0.175,0.2775,3162,1190,10,30,49,4441,-1972,0.267957667192074,0.712001801396082,-0.444044134204008,0.0596616206589492,0,0.0132448797862867,0.0198673196794301,0,0,0,0,0.00596616206589492,0.19440639485254,0.13856701819481,0.157367810612179,0.20179487901452
532,"20032","20","032","ASTREA",2018,637902772.655,9.51072792462,-73.9421464108,"Cesar","Noroccidental",0.479721665382385,0.684287339864031,0.598751422381027,0,0,0.684287339864031,0.0855359174830038,0.684287339864031,0.608331445139123,0,NA,0.125,NA,1,NA,0.889,NA,0,147.116377344157,532,21262.8104860906,0.434574976122254,0.524064171122995,0.380253104106972,0.0482378223495702,0,0.434574976122254,0.0543218720152818,0.289861509073543,0.434574976122254,0,0.45855614973262,0.0581711229946524,0,0.524064171122995,0.0655080213903743,0.349550802139037,0.524064171122995,0,100.539344787598,564.481323242188,0.878787878787879,0.329545454545455,0,0,0.527272727272727,"Región Caribe",20,"Cesar",20.032,"Astrea","North",0.25,0.222,0.333,0.1,0.175,0.2775,3003,4422,15,50,70,7560,1419,0.584920634920635,0.397222222222222,0.187698412698413,0.379341050756901,0,0.0842137132680321,0.126320569902048,0,0,0,0,0.0379341050756901,0.22348712069156,0.174777872283219,0.198964523270521,0.23419479291693
533,"20060","20","060","BOSCONIA",2018,586209172.07,9.94639130927,-73.8662881528,"Cesar","Noroccidental",0.0586177594959736,0.523371717513442,0.457950252824262,0,0,0.523371717513442,0.0654214646891803,0.523371717513442,0.46527745686945,0,NA,0.125,NA,1,NA,0.889,NA,0,267.267524063872,533,21262.8104860906,0.434574976122254,0.7174688057041,0.380253104106972,0.0482378223495702,0,0.434574976122254,0.0543218720152818,0.289861509073543,0.434574976122254,0,0.627785204991087,0.0796390374331551,0,0.7174688057041,0.0896836007130125,0.478551693404635,0.7174688057041,0,54.3175849914551,615.962646484375,0.909982174688057,0.341243315508021,0,0,0.545989304812834,"Región Caribe",20,"Cesar",20.06,"Bosconia","North",0.25,0.222,0.333,0.1,0.175,0.2775,5950,7296,10,107,190,13553,1346,0.538330996827271,0.439017191765661,0.09931380506161,0.319679430097952,0,0.0709688334817453,0.106453250222618,0,0,0,0,0.0319679430097952,0.229010479840695,0.171816410229122,0.202774939099521,0.239849721380021
534,"20175","20","175","CHIMICHAGUA",2018,1376425322.17,9.21878186452,-73.7526712425,"Cesar","Central",0.598437190055847,0.725225871504868,0.63457263756676,0,0,0.725225871504868,0.0906532339381085,0.725225871504868,0.644725799767828,0,0.875,NA,0,NA,0,NA,1,NA,220.086194676283,534,21262.8104860906,0.434574976122254,0.655971479500891,0.380253104106972,0.0482378223495702,0,0.434574976122254,0.0543218720152818,0.289861509073543,0.434574976122254,0,0.57397504456328,0.0728128342245989,0,0.655971479500891,0.0819964349376114,0.437532976827095,0.655971479500891,0,122.502731323242,536.171997070312,0.839572192513369,0.314839572192513,0,0,0.503743315508021,"Región Caribe",20,"Cesar",20.175,"Chimichagua","North",0.25,0.222,0.333,0.1,0.175,0.2775,3942,6815,11,60,131,10959,2873,0.621863308696049,0.359704352586915,0.262158956109134,0.433659839715049,0,0.0962724844167409,0.144408726625111,0,0,0,0,0.0433659839715049,0.243254615399784,0.194230520871663,0.222263250736729,0.253538331310661
535,"20178","20","178","CHIRIGUANÁ",2018,1114480371.22,9.42664835352,-73.547978944,"Cesar","Central",0.40145879983902,0.65595881712882,0.573963964987717,0,0,0.65595881712882,0.0819948521411025,0.65595881712882,0.583147388427521,0,NA,0.125,NA,1,NA,0.889,NA,0,213.093479851512,535,21262.8104860906,0.434574976122254,0.646167557932264,0.380253104106972,0.0482378223495702,0,0.434574976122254,0.0543218720152818,0.289861509073543,0.434574976122254,0,0.565396613190731,0.0717245989304813,0,0.646167557932264,0.080770944741533,0.43099376114082,0.646167557932264,0,98.2012710571289,560.888854980469,0.874331550802139,0.327874331550802,0,0,0.524598930481283,"Región Caribe",20,"Cesar",20.178,"Chiriguaná","North",0.25,0.222,0.333,0.1,0.175,0.2775,5386,5414,11,96,115,11022,28,0.491199419343132,0.488659045545273,0.00254037379785887,0.247551202137133,0,0.0549563668744435,0.0824345503116652,0,0,0,0,0.0247551202137133,0.235000088326486,0.179454193009321,0.205593687083931,0.24393505321951
536,"20228","20","228","CURUMANÍ",2018,915171271.4,9.23877133221,-73.488108612,"Cesar","Central",0.293510526418686,0.615434022646051,0.538504769815295,0,0,0.615434022646051,0.0769292528307564,0.615434022646051,0.547120846132339,0,NA,0.125,NA,1,NA,0.889,NA,0,246.370572272948,536,21262.8104860906,0.434574976122254,0.690730837789661,0.380253104106972,0.0482378223495702,0,0.434574976122254,0.0543218720152818,0.289861509073543,0.434574976122254,0,0.604389483065954,0.0766711229946524,0,0.690730837789661,0.0863413547237077,0.460717468805704,0.690730837789661,0,115.100387573242,544.035522460938,0.852941176470588,0.319852941176471,0,0,0.511764705882353,"Región Caribe",20,"Cesar",20.228,"Curumaní","North",0.25,0.222,0.333,0.1,0.175,0.2775,6082,6458,20,162,260,12982,376,0.497458018795255,0.468494839007857,0.0289631797873979,0.260908281389136,0,0.0579216384683882,0.0868824577025824,0,0,0,0,0.0260908281389136,0.234502225201523,0.179093031614349,0.207216767703073,0.243002549307122
537,"20238","20","238","EL COPEY",2018,956450835.898,10.1999535633,-73.912820636,"Cesar","Noroccidental",0.254981935024261,0.600631474031353,0.525552539777434,0,0,0.600631474031353,0.0750789342539191,0.600631474031353,0.533961380413873,0,NA,0.125,NA,1,NA,0.889,NA,0,353.624818437449,537,21262.8104860906,0.434574976122254,0.778966131907308,0.380253104106972,0.0482378223495702,0,0.434574976122254,0.0543218720152818,0.289861509073543,0.434574976122254,0,0.681595365418895,0.0864652406417112,0,0.778966131907308,0.0973707664884135,0.519570409982175,0.778966131907308,0,44.3099327087402,646.895568847656,0.923351158645276,0.346256684491979,0,0,0.554010695187166,"Región Caribe",20,"Cesar",20.238,"El Copey","North",0.25,0.222,0.333,0.1,0.175,0.2775,5852,4795,9,74,138,10868,-1057,0.441203533308796,0.538461538461538,-0.097258005152742,0.198575244879786,0,0.0440837043633126,0.0661255565449688,0,0,0,0,0.0198575244879786,0.24698178630383,0.184093853627319,0.214006633608269,0.256683228201726
538,"20250","20","250","EL PASO",2018,813932821.215,9.68177991756,-73.6935032804,"Cesar","Noroccidental",0.815565824508667,0.7926257487573,0.693547530162638,0,0,0.7926257487573,0.0990782185946625,0.7926257487573,0.70464429064524,0,0.875,NA,0,NA,0,NA,1,NA,1046.8877489298,538,21262.8104860906,0.434574976122254,0.909982174688057,0.380253104106972,0.0482378223495702,0,0.434574976122254,0.0543218720152818,0.289861509073543,0.434574976122254,0,0.79623440285205,0.101008021390374,0,0.909982174688057,0.113747771836007,0.606958110516934,0.909982174688057,0,70.8691787719727,588.071960449219,0.897504456327986,0.336564171122995,0,0,0.538502673796791,"Región Caribe",20,"Cesar",20.25,"El Paso","North",0.25,0.222,0.333,0.1,0.175,0.2775,7883,3990,14,117,124,12128,-3893,0.328990765171504,0.649983509234829,-0.320992744063325,0.0961709706144256,0,0.0213499554764025,0.0320249332146037,0,0,0,0,0.00961709706144256,0.286146511821044,0.217992729517626,0.247456424818488,0.293840961787949
539,"20295","20","295","GAMARRA",2018,326880594.738,8.33772662202,-73.7064919856,"Cesar","Sur",0.343618512153625,0.6344333995649,0.555129224619288,0,0,0.6344333995649,0.0793041749456126,0.6344333995649,0.564011292213196,0,NA,0.125,NA,1,NA,0.889,NA,0,106.957181807966,539,21262.8104860906,0.434574976122254,0.410873440285205,0.380253104106972,0.0482378223495702,0,0.434574976122254,0.0543218720152818,0.289861509073543,0.434574976122254,0,0.359514260249554,0.0456069518716578,0,0.410873440285205,0.0513591800356506,0.274052584670232,0.410873440285205,0,224.291442871094,434.027435302734,0.715686274509804,0.268382352941176,0,0,0.429411764705882,"Región Caribe",20,"Cesar",20.295,"Gamarra","North",0.25,0.222,0.333,0.1,0.175,0.2775,1549,3504,11,38,106,5208,1955,0.672811059907834,0.297427035330261,0.375384024577573,0.533392698130009,0,0.118413178984862,0.177619768477293,0,0,0,0,0.0533392698130009,0.19546114909891,0.161813264386456,0.185688062621962,0.203507234296124
