"MPIO_CDPMP","depto","provincia","municipio","IndRur_0t1c","VAM18_2t3c","PBID18_2t3c","IPM18_2t3c","DisBog_4t5c","North_6","South_7","West_8","East_9","EjeCafe_6t9","Caribe_6t9","CSur_6t9","Pacif_6t9","COrient_6t9","Llano_6t9","Desp_10c","Conf_10c","Hurto_11c","Homic_11c","Errad_11c","DenPob_12c","DisMer_13c","PobInd_14c","PobEtn_14c","PobTot_12c","PobInd_14cp","PobEtn_14cp","RulPar_15t16c","Desp_10pcc","Conf_10pcc","Hurto_11pcc","Homic_11pcc","Errad_11pkmc"
"25175","Cundinamarca","Sabana centro","Chía",0.100713012477718,0.964349376114082,0.756446991404012,0.00267379679144385,0.0409982174688057,0,0,0,1,0,0,0,0,1,0,0.79270462633452,0.98932384341637,0.974176313446126,0.791629563668744,0.811387900355872,0.986631016042781,0.0409982174688057,0.873440285204991,0.799465240641711,0.961675579322638,0.711229946524064,0.606951871657754,0.382031905961377,0.42156862745098,0.989304812834225,0.984848484848485,0.323529411764706,0.811051693404635
"25178","Cundinamarca","Oriente","Chipaque",0.688057040998218,0.273618538324421,0.756446991404012,0.273618538324421,0.0035650623885918,0,0,0,1,0,0,0,0,1,0,0.309608540925267,0.98932384341637,0.669634906500445,0.430988423864648,0.811387900355872,0.641711229946524,0.0035650623885918,0.313725490196078,0.301247771836007,0.40017825311943,0.307486631016043,0.301247771836007,0.575146935348447,0.308377896613191,0.989304812834225,0.828877005347594,0.410873440285205,0.811051693404635
"25181","Cundinamarca","Oriente","Choachí",0.53475935828877,0.496434937611408,0.756446991404012,0.135472370766488,0.0213903743315508,0,0,0,1,0,0,0,0,1,0,0.309608540925267,0.98932384341637,0.556544968833482,0.430988423864648,0.811387900355872,0.587344028520499,0.0213903743315508,0.42602495543672,0.352941176470588,0.472370766488414,0.466131907308378,0.36096256684492,0.699412258606213,0.308377896613191,0.989304812834225,0.566844919786096,0.369875222816399,0.811051693404635
"25183","Cundinamarca","Almeidas","Chocontá",0.339572192513369,0.78698752228164,0.756446991404012,0.207664884135472,0.111408199643494,0,0,0,1,0,0,0,0,1,0,0.309608540925267,0.98932384341637,0.787177203918077,0.69813000890472,0.811387900355872,0.683600713012478,0.00980392156862745,0.42602495543672,0.382352941176471,0.692513368983957,0.349376114081996,0.161319073083779,0.571788413098237,0.308377896613191,0.989304812834225,0.813725490196078,0.631016042780749,0.811051693404635
"25200","Cundinamarca","Sabana centro","Cogua",0.588235294117647,0.842245989304813,0.756446991404012,0.0311942959001783,0.0837789661319073,0,0,0,1,0,0,0,0,1,0,0.309608540925267,0.98932384341637,0.782724844167409,0.283170080142476,0.811387900355872,0.876114081996435,0.0106951871657754,0.435828877005348,0.355614973262032,0.712121212121212,0.352941176470588,0.10427807486631,0.268681780016793,0.308377896613191,0.989304812834225,0.775401069518717,0.2825311942959,0.811051693404635
"25214","Cundinamarca","Sabana occidente","Cota",0.224598930481283,0.959001782531194,0.756446991404012,0.0071301247771836,0.0276292335115865,0,0,0,1,0,0,0,0,1,0,0.379003558718861,0.98932384341637,0.926090828138914,0.595725734639359,0.811387900355872,0.96524064171123,0.0276292335115865,0.901069518716578,0.789661319073084,0.822638146167558,0.854723707664884,0.751336898395722,0.399664147774979,0.325311942959002,0.989304812834225,0.980392156862745,0.367201426024955,0.811051693404635
"25224","Cundinamarca","Ubaté","Cucunubá",0.90017825311943,0.6524064171123,0.756446991404012,0.168449197860963,0.115864527629234,0,0,0,1,0,0,0,0,1,0,0.412811387900356,0.98932384341637,0.556544968833482,0.430988423864648,0.811387900355872,0.67825311942959,0.00089126559714795,0.549910873440285,0.294117647058824,0.315508021390374,0.646167557932264,0.372549019607843,0.698572628043661,0.461675579322638,0.989304812834225,0.724598930481283,0.454545454545455,0.811051693404635
"25245","Cundinamarca","Tequendama","El Colegio",0.46078431372549,0.775401069518717,0.756446991404012,0.0846702317290553,0.0151515151515152,0,0,0,1,0,0,0,0,1,0,0.309608540925267,0.98932384341637,0.829029385574354,0.659839715048976,0.811387900355872,0.896613190730838,0.0151515151515152,0.292335115864528,0.409090909090909,0.734402852049911,0.170231729055258,0.162210338680927,0.513853904282116,0.308377896613191,0.989304812834225,0.86096256684492,0.526737967914438,0.811051693404635
"25258","Cundinamarca","Rio negro","El Peñón",0.933155080213904,0.245098039215686,0.756446991404012,0.696969696969697,0.110516934046346,0,0,0,1,0,0,0,0,1,0,0.309608540925267,0.98932384341637,0.403383793410508,0.595725734639359,0.811387900355872,0.363636363636364,0.0427807486631016,0.138146167557932,0.179144385026738,0.115864527629234,0.138146167557932,0.379679144385027,0.970612930310663,0.308377896613191,0.989304812834225,0.738859180035651,0.918894830659537,0.811051693404635
"25260","Cundinamarca","Sabana occidente","El Rosal",0.0704099821746881,0.724598930481283,0.756446991404012,0.0329768270944742,0.0392156862745098,0,0,0,1,0,0,0,0,1,0,0.586298932384342,0.98932384341637,0.783615316117542,0.529830810329475,0.811387900355872,0.924242424242424,0.0392156862745098,0.509803921568627,0.375222816399287,0.728163992869875,0.470588235294118,0.116755793226381,0.609571788413098,0.494652406417112,0.989304812834225,0.765597147950089,0.354723707664884,0.811051693404635
