"MPIO_CDPMP","depto","provincia","municipio","IndRur_0t1","VAM18_2t3","PBID18_2t3","IPM18_2t3","DisBog_4t5","n_6t9","s_6t9","e_6t9","w_6t9","Desp_10","Conf_10","Hurto_11","Homic_11","Errad_11","PobTot_12","PobInd_14","PobEtn_14","PobInd_14p","PobEtn_14p","AREA","AREAkm","DenPob_12","DisMer_13","nAllRds_13","lAllRds_13","lRds_13","lMjRds_13","nAR_13pkm","lAR_13pkm","lRds_13pkm","lMjRds_13pkm","RulPar_15t16","Desp_10pc","Conf_10pc","Hurto_11pc","Homic_11pc","Errad_11pkm"
"47745","Magdalena","Rio","Sitionuevo",0.475117951631546,169.91293809084,13233.3034835677,70.7,719.191833496094,0.736151715155813,0,0,0.178771438326162,0,0,40,3,0,51608,12,422,0.000232522089598512,0.00817702681754767,970904645.158,970904.645158,0.0531545505085122,27.3017387390137,465,281229.959281823,278407.659264048,465,0.00047893477729147,0.289657651432966,0.286750774808315,0.00047893477729147,0.526387992253067,0,0,0.00077507363199504,5.8130522399628e-05,0
"47798","Magdalena","Centro","Tenerife",0.508083999156952,71.1928275718679,13233.3034835677,56.3,612.736145019531,0.634426738991016,0,0,0.190671533712651,0,0,7,3,0,24728,18,1280,0.000727919767065675,0.0517631834357813,492199257.382,492199.257382,0.0502398157435829,104.384994506836,271,228835.477645765,228835.477645765,271,0.000550590022100896,0.464924467507199,0.464924467507199,0.000550590022100896,0.570455560518088,0,0,0.000283079909414429,0.000121319961177612,0
"47960","Magdalena","Rio","Zapayán",0.611318826675415,65.5892713962956,13233.3034835677,70.4,635.181884765625,0.654769909825056,0,0,0.185878258365829,0,0,2,0,0,17212,2,108,0.000116198001394376,0.0062746920752963,353276258.997,353276.258997,0.048721077518391,91.5333557128906,168,130842.109435499,130842.109435499,168,0.00047554851400707,0.370367682807154,0.370367682807154,0.00047554851400707,0.778004905968929,0,0,0.000116198001394376,0,0
"47980","Magdalena","Norte","Zona Bananera",0.935755670070648,1052.66647409364,13233.3034835677,48.6,708.559997558594,0.726256072561608,0,0,0.126571564376794,0,0,156,18,0,133604,602,60170,0.00450585311817011,0.450360767641687,446462117.948,446462.117948,0.299250473061549,50.4835586547852,1039,545434.777034384,544166.073182835,1039,0.0023271851255273,1.22168209822879,1.21884041513734,0.0023271851255273,0.371863895768278,0,0,0.00116762971168528,0.000134726505194455,0
"50001","Meta","Capital","Villavicencio",0.0738280564546585,7922.58106713203,35330.9263489603,15.9,83.6635894775391,0.0199067304562286,0,0,0.0473990449931654,1101,0,6719,120,0,893074,3124,34722,0.00349803039837684,0.0388791970206276,1285879353.59,1285879.35359,0.694523943872852,0,11234,2525183.21249742,2483158.85252286,11234,0.00873643391865357,1.96377926548665,1.93109784801367,0.00873643391865357,0.63725577119605,0.00123282057253934,0,0.0075234527038073,0.000134367364854424,0
"50006","Meta","Piedemonte","Acacías",0.228542536497116,5180.47498127144,35330.9263489603,19.2,67.2133865356445,0.0112653282051342,0,0,0.0740951941879984,155,0,653,12,0,147850,160,2886,0.00108217788298952,0.0195197835644234,1123737929.42,1123737.92942,0.131569822579817,25.1595401763916,2444,891823.223559422,891034.99432042,2444,0.00217488431778879,0.793622071669079,0.792920636558306,0.00217488431778879,0.686299723590915,0.00104835982414609,0,0.00441663848495096,8.11633412242137e-05,0
"50110","Meta","Piedemonte","Barranca de Upía",0.312888205051422,199.832857278768,35330.9263489603,36.5,134.766128540039,0.0649348307705202,0,0.0139986904528702,0,27,0,18,0,0,11670,6,84,0.00051413881748072,0.00719794344473008,403818863.114,403818.863114,0.0288990957728131,73.4895935058594,266,205992.88296129,205992.88296129,266,0.000658711180425732,0.510112086822296,0.510112086822296,0.000658711180425732,0.704329661982529,0.00231362467866324,0,0.00154241645244216,0,0
"50124","Meta","Rio meta","Cabuyaro",0.506268560886383,916.732528350736,35330.9263489603,32.2,137.593017578125,0.0434608455128342,0,0.0208626815037085,0,9,0,12,1,0,10152,142,500,0.0139873916469661,0.0492513790386131,913662509.326,913662.509326,0.0111113238163718,66.3005065917969,263,332820.792925351,332820.792925351,263,0.000287852458993871,0.36427104048613,0.36427104048613,0.000287852458993871,0.785907859078591,0.000886524822695035,0,0.00118203309692671,9.85027580772262e-05,0
"50150","Meta","Piedemonte","Castilla la Nueva",0.56965035200119,3256.8319850425,35330.9263489603,23.1,96.3122024536133,0,0.011996836533921,0,0.0527095241108765,4,0,53,0,0,27032,38,346,0.00140574134359278,0.0127996448653448,514685966.597,514685.966597,0.0525213465187911,31.1868953704834,507,360147.110044633,360147.110044633,507,0.000985066687075581,0.699741460653869,0.699741460653869,0.000985066687075581,0.702504213821334,0.000147972773009766,0,0.0019606392423794,0,0
"50223","Meta","Piedemonte","Cubarral",0.34281200170517,64.9377184524206,35330.9263489603,21.8,66.9467391967773,0,0.00915774814915368,0,0.114704279346999,8,0,7,0,0,12552,22,290,0.00175270873167623,0.0231038878266412,1157865246.2,1157865.2462,0.0108406397386867,66.9467391967773,289,237194.099475441,180523.715163512,289,0.000249597266131331,0.204854667029595,0.155910815836275,0.000249597266131331,0.800627684175752,0.000637348629700446,0,0.00055768005098789,0,0
