"MPIO_CDPMP","depto","provincia","municipio","IndRur_0t1","VAM18_2t3","PBID18_2t3","IPM18_2t3","DisBog_4t5","North_6","South_7","West_8","East_9","EjeCafe_6t9","Caribe_6t9","CSur_6t9","Pacif_6t9","COrient_6t9","Llano_6t9","Desp_10","Conf_10","Hurto_11","Homic_11","Errad_11","PobTot_12","PobInd_14","PobEtn_14","PobInd_14p","PobEtn_14p","AREA","AREAkm","DenPob_12","DisMer_13","RulPar_15t16","Desp_10pc","Conf_10pc","Hurto_11pc","Homic_11pc","Errad_11pkm"
"05079","Antioquia","Valle del aburra","Barbosa",0.573322534561157,957.655653468859,141680.080332056,22.2,259.876953125,1,0,0,0,1,0,0,0,0,0,144,0,233,21,0,89242,40,934,0.000448219448241859,0.0104659241164474,205666168.147,205666.168147,0.433916773011564,15.5014228820801,0.745379084021041,0.00161359001367069,0,0.00261087828600883,0.000235315210326976,0
"05086","Antioquia","Norte","Belmira",0.729499995708466,69.5397895058167,141680.080332056,40.8,294.304534912109,1,0,0,0,1,0,0,0,0,0,10,0,6,0,0,10698,2,4242,0.000186950831931202,0.39652271452608,296153167.054,296153.167054,0.0361231997159407,38.4839134216309,0.870647862494491,0.000934754159656011,0,0.000560852495793606,0,0
"05088","Antioquia","Valle del aburra","Bello",0.0512786619365215,5667.45884321268,141680.080332056,14.2,267.415771484375,1,0,0,0,1,0,0,0,0,0,2660,0,3760,80,0,955320,590,31676,0.000617594104593225,0.0331574760289746,147758417.955,147758.417955,6.4654184392455,11.4078960418701,0.727853061496732,0.00278440731901352,0,0.00393585395469581,8.37415735041661e-05,0
"05091","Antioquia","Suroeste","Betania",0.651167273521423,148.361347746624,141680.080332056,53.6,248.967926025391,1,0,0,0,1,0,0,0,0,0,9,0,17,14,0,17178,64,236,0.003725695657236,0.0137385027360577,180525986.823,180525.986823,0.0951552754387792,47.1360015869141,0.904788732394366,0.000523925951798812,0,0.000989637908953312,0.000814995925020375,0
"05093","Antioquia","Suroeste","Betulia",0.726148545742035,224.162010433527,141680.080332056,53.1,279.122802734375,1,0,0,0,1,0,0,0,0,0,10,0,21,9,0,30138,54,370,0.00179175791359745,0.0122768597783529,262367502.578,262367.502578,0.11486940914506,33.6572685241699,0.938695249845774,0.000331807021036565,0,0.000696794744176787,0.000298626318932909,0
"05101","Antioquia","Suroeste","Ciudad Bolívar",0.402557611465454,335.793434427955,141680.080332056,40.4,256.47705078125,1,0,0,0,1,0,0,0,0,0,35,0,57,42,0,46172,506,1054,0.0109590227843715,0.0228276877761414,260446107.924,260446.107924,0.177280437661496,44.8417854309082,0.880819686187087,0.000758035172832019,0,0.00123451442432643,0.000909642207398423,0
"05107","Antioquia","Norte","Briceño",0.682547569274902,80.106308395651,141680.080332056,55.4,337.512298583984,1,0,0,0,1,0,0,0,0,0,22,0,3,8,52.9405,11892,6,110,0.000504540867810293,0.00924991590985537,376346756.404,376346.756404,0.0315985186470804,18.2493534088135,0.671034794396747,0.00184998318197107,0,0.000252270433905146,0.00067272115708039,0.0140669473295977
"05113","Antioquia","Occidente","Buriticá",0.761064767837524,85.8885769297839,141680.080332056,51.3,328.099090576172,1,0,0,0,1,0,0,0,0,0,10,0,8,8,0,14736,0,152,0,0.010314875135722,355210255.754,355210.255754,0.0414852886742251,54.147289276123,0.788907849829352,0.000678610206297503,0,0.000542888165038002,0.000542888165038002,0
"05120","Antioquia","Bajo cauca","Cáceres",0.815319359302521,415.78185655708,141680.080332056,66.4,372.009368896484,1,0,0,0,1,0,0,0,0,0,1907,0,29,65,1880.2721,52240,3346,4624,0.0640505359877488,0.0885145482388974,1873802833.68,1873802.83368,0.0278791338453709,71.2851028442383,0.535206194849631,0.0365045941807044,0,0.000555130168453292,0.00124425727411945,0.100345247973998
"05125","Antioquia","Suroeste","Caicedo",0.800289273262024,103.362233442725,141680.080332056,54.6,298.101654052734,1,0,0,0,1,0,0,0,0,0,7,0,5,2,0,14030,2,176,0.000142551674982181,0.0125445473984319,200129883.21,200129.88321,0.0701044730300375,37.7952842712402,0.87344,0.000498930862437634,0,0.000356379187455453,0.000142551674982181,0
