MPIO_CDPMP,municipio,depto,pct_elec_dom,pct_civlib_dom,pct_convergent,n_years,stability_type
54377,Labateca,Norte de Santander,0.4117647058823529,0,0.5882352941176471,17,Episodic / mixed
54385,La Esperanza,Norte Santander,0.25,0,0.75,4,Episodic / mixed
54385,La Esperanza,Norte de Santander,0.35294117647058826,0,0.6470588235294118,17,Episodic / mixed
54398,La Playa,Norte Santander,0,0,1,4,Structurally convergent
54398,La Playa,Norte de Santander,0.4117647058823529,0,0.5882352941176471,17,Episodic / mixed
54405,Los Patios,Norte Santander,0,0,1,4,Structurally convergent
54405,Los Patios,Norte de Santander,0.5294117647058824,0,0.47058823529411764,17,Episodic / mixed
54418,Lourdes,Norte Santander,0,0,1,4,Structurally convergent
54418,Lourdes,Norte de Santander,0.058823529411764705,0,0.9411764705882353,17,Structurally convergent
54480,Mutiscua,Norte Santander,0.5,0,0.5,4,Episodic / mixed
54480,Mutiscua,Norte de Santander,0.29411764705882354,0,0.7058823529411765,17,Episodic / mixed
54498,Ocaña,Norte Santander,0,0,1,4,Structurally convergent
54498,Ocaña,Norte de Santander,0.11764705882352941,0,0.8823529411764706,17,Structurally convergent
54518,Pamplona,Norte Santander,0,0,1,4,Structurally convergent
54518,Pamplona,Norte de Santander,0.11764705882352941,0,0.8823529411764706,17,Structurally convergent
54520,Pamplonita,Norte Santander,0,0,1,4,Structurally convergent
54520,Pamplonita,Norte de Santander,0.23529411764705882,0,0.7647058823529411,17,Episodic / mixed
54553,Puerto Santander,Norte Santander,0.25,0,0.75,4,Episodic / mixed
54553,Puerto Santander,Norte de Santander,0.29411764705882354,0,0.7058823529411765,17,Episodic / mixed
54599,Ragonvalia,Norte Santander,0,0,1,4,Structurally convergent
54599,Ragonvalia,Norte de Santander,0.4117647058823529,0,0.5882352941176471,17,Episodic / mixed
54660,Salazar,Norte Santander,0,0,1,4,Structurally convergent
54660,Salazar,Norte de Santander,0.8823529411764706,0,0.11764705882352941,17,Structurally elections-dominant
54670,San Calixto,Norte Santander,0.25,0,0.75,4,Episodic / mixed
54670,San Calixto,Norte de Santander,0.058823529411764705,0,0.9411764705882353,17,Structurally convergent
54673,San Cayetano,Norte Santander,0,0,1,4,Structurally convergent
54673,San Cayetano,Norte de Santander,0.11764705882352941,0,0.8823529411764706,17,Structurally convergent
54680,Santiago,Norte Santander,0,0,1,4,Structurally convergent
54680,Santiago,Norte de Santander,0.35294117647058826,0,0.6470588235294118,17,Episodic / mixed
54720,Sardinata,Norte Santander,0.25,0,0.75,4,Episodic / mixed
54720,Sardinata,Norte de Santander,0.6470588235294118,0,0.35294117647058826,17,Episodic / mixed
54743,Silos,Norte Santander,0.5,0,0.5,4,Episodic / mixed
54743,Silos,Norte de Santander,0.35294117647058826,0,0.6470588235294118,17,Episodic / mixed
54800,Teorama,Norte Santander,0,0,1,4,Structurally convergent
54800,Teorama,Norte de Santander,0,0,1,17,Structurally convergent
54810,Tibú,Norte Santander,0,0,1,4,Structurally convergent
54810,Tibú,Norte de Santander,0,0,1,17,Structurally convergent
54820,Toledo,Norte Santander,0,0,1,4,Structurally convergent
54820,Toledo,Norte de Santander,0.058823529411764705,0,0.9411764705882353,17,Structurally convergent
54871,Villa Caro,Norte Santander,0.5,0,0.5,4,Episodic / mixed
54871,Villa Caro,Norte de Santander,0.11764705882352941,0,0.8823529411764706,17,Structurally convergent
54874,Villa Del Rosario,Norte Santander,0,0,1,4,Structurally convergent
54874,Villa del Rosario,Norte de Santander,0.058823529411764705,0,0.9411764705882353,17,Structurally convergent
63001,Armenia,Quindio,0,0,1,21,Structurally convergent
63111,Buenavista,Quindio,0,0.09523809523809523,0.9047619047619048,21,Structurally convergent
63130,Calarca,Quindio,0,0,1,17,Structurally convergent
63130,Calarcá,Quindio,0,0,1,4,Structurally convergent
