event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,admin1c,admin2c,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
COL6897,11-May-21,2021,2,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee; Farmers (Colombia),6,,,0,60,,170,South America,Colombia,Narino,La Union,,NARINO,LA UNION,La Union,1.6003,-77.1312,1,El Tiempo (Colombia),National,"Around 11 May 2021 (as reported), in La Union, Narino department, farmers and other citizens participated in an anti-government protest organized by the National Strike Committee. The group joined a nationwide strike to demand improvements in health, education, security, among other issues. Additionally, protesters rallied against the increasing number of reports on police brutality and the forced eradication of coca crops. Protesters gathered to block the road for several days.",0,crowd size=no report,1621881913
COL4833,5-Sep-18,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,,170,South America,Colombia,Narino,La Union,,NARINO,LA UNION,La Union,1.6003,-77.1312,1,Diario del Sur (Colombia),Subnational,"On 5 September 2018, around 300 people marched in La Union (La Union, Narino) to protest against animal cruelty and the recent events of violence against animals in the municipality.",0,,1607554933
COL7632,1-Jun-21,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,,170,South America,Colombia,Cundinamarca,La Vega,,CUNDINAMARCA,LA VEGA,La Vega,4.9991,-74.3386,2,El Tiempo (Colombia),National,"On 1 June 2021, in La Vega municipality (Cundinamarca), protesters blocked municipal routes during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others.",0,crowd size=no report,1623094937
COL272,3-Mar-19,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Indigenous Group (Colombia); Farmers (Colombia),6,,,0,60,,170,South America,Colombia,Cauca,La Vega,,CAUCA,LA VEGA,Santa Juana,2.1298,-76.8057,1,El Espectador,National,"On 3 March 2019, 350 between indigenous and farmers protested in the rural area Santa Juanan in the municipality of La Vega in Cauca, Colombia. The group demonstrated against mining projects in the areas of reserve.",0,crowd size=350,1649356212
COL3371,21-Nov-18,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Indigenous Group (Colombia),6,,,0,60,,170,South America,Colombia,Cauca,La Vega,,CAUCA,LA VEGA,Pancitara,1.98,-76.7603,1,La W,National,"On 21 November 2018, indigenous peoples from Resguardo de Pancitara (La Vega, Cauca) blocked the road in La Vega (Cauca), protesting against the fact that they have not been taken into account for the organization of Cumbre del Macizo, starting on the same day in La Vega (La Vega, Cauca).",0,,1607555468
COL10558,27-Mar-22,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,,170,South America,Colombia,Valle del Cauca,La Victoria,,VALLE DEL CAUCA,LA VICTORIA,La Victoria,4.5233,-76.0358,1,El Tiempo (Colombia); El Espectador,National,"On 27 March 2022, in La Victoria (Cauca), residents protested to demand justice in the case of a girl killed in a suspected femicide case. The victim disappeared after going to visit a friend on March 22, later authorities found her body near a local river. Protesters demanded more progress in the police investigation.",0,crowd size=no report,1649104518
COL6150,28-Apr-21,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,,170,South America,Colombia,Valle del Cauca,La Victoria,,VALLE DEL CAUCA,LA VICTORIA,La Victoria,4.5233,-76.0358,2,El Pais (Colombia),Subnational,"On 28 April 2021, in La Victoria municipality (Valle del Cauca), protesters blocked the road to La Union to demonstrate opposition to tax reforms advanced by the Duque government. The event was part of a country-wide movement organized by the National Strike Committee.",0,crowd size=no report,1620691935
COL19119,6-Feb-23,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Farmers (Colombia); Embera Indigenous Group (Colombia); Former FARC: Revolutionary Armed Forces of Colombia; Refugees/IDPs (Colombia),6,,,0,60,,170,South America,Colombia,Risaralda,La Virginia,,RISARALDA,LA VIRGINIA,La Virginia,4.9001,-75.8822,2,El Tiempo (Colombia); W Radio,National,"On 6 February 2023, between La Virginia and Belalcazar municipalities (coded to La Virginia, Risaralda), farmers, Embera Indigenous people, and former FARC members blocked the highway that connects both municipalities to reject that they were evicted days before by authorities from a private property they had occupied in the Guasimo sector (coded separately). They demanded a meeting with regional and national authorities to dialogue. Most of the demonstrators were also victims of forced displacement.",0,crowd size=no report,1681237596
COL7139,17-May-21,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,,170,South America,Colombia,Risaralda,La Virginia,,RISARALDA,LA VIRGINIA,La Virginia,4.9001,-75.8822,2,La Patria,National,"On 17 May 2021, near La Virginia municipality (Risaralda), citizens participated in an anti-government protest organized by the National Strike Committee. The group took part in a nationwide strike to demand improvements in health, education, security, among other issues. Additionally, protesters rallied against the increasing number of reports on police brutality across the country. Protesters gathered and blocked the road that connects the municipality with Media Canoa.",0,crowd size=no report,1622481035
COL18554,5-Dec-22,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Labor Group (Colombia),6,,,0,60,,170,South America,Colombia,Santander,Lebrija,,SANTANDER,LEBRIJA,Lebrija,7.1142,-73.2198,2,Vanguardia Liberal,Subnational,"On 5 December 2022, around Lebrija municipality (Santander), taxi drivers protested on the road to the Palonegro International Airport to demand the presence of more police and traffic agents at the airport because they claim that there is a lack of control and disorder at the access points.",0,crowd size=no report,1670879407
COL9571,3-Jan-22,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,,170,South America,Colombia,Santander,Lebrija,,SANTANDER,LEBRIJA,Lebrija,7.1142,-73.2198,2,Vanguardia Liberal,Subnational,"On 3 January 2022, in Lebrija municipality (Santander), a group of residents of La Aguada vereda blocked the access road to the airport to protest against the pollution of a ravine that supplies the water that goes through the pipes.",0,crowd size=no report,1641855746
COL6533,7-May-21,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,,170,South America,Colombia,Santander,Lebrija,,SANTANDER,LEBRIJA,Lebrija,7.1142,-73.2198,1,La Vanguardia,International,"On 7 May 2021, in Lebrija, Santander department, a group of citizens participated in an anti-government demonstration organized by the National Strike Committee. The group joined a nationwide strike to demand improvements in health, education, security, among other issues. Additionally, protesters rallied against the increasing number of reports on police brutality across the country.",0,crowd size=no report,1620677217
COL5703,5-Mar-21,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Government of Colombia (2018-2022),6,,,0,60,,170,South America,Colombia,Santander,Lebrija,,SANTANDER,LEBRIJA,Lebrija,7.1142,-73.2198,1,Vanguardia Liberal,Subnational,"On 5 March 2021, in Lebrija, Santander department, nearly 300 citizens protested against the lack of public lighting on the road that connects the town with nearby municipalities. Several councilmen participated in the protest.",0,crowd size=nearly 300,1660599329
COL10543,25-Mar-22,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,,170,South America,Colombia,Tolima,Lerida,,TOLIMA,LERIDA,Lerida,4.8614,-74.9099,1,El Nuevo Dia (Colombia),National,"On 25 March 2022, in Lerida (Tolima), a group of parents of students from a local school protested against a deficit of school personnel to carry out the school activities at a local school. The protesters claimed that their children have missed classes due to the lack of teachers.",0,crowd size=no report,1649104519
COL6151,28-Apr-21,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,,170,South America,Colombia,Tolima,Lerida,,TOLIMA,LERIDA,Lerida,4.8614,-74.9099,1,El Nuevo Dia (Colombia),National,"On 28 April 2021, in Lerida (Tolima), protesters gathered to oppose tax reforms advanced by the Duque government. The event was part of a country-wide movement organized by the National Strike Committee.",0,crowd size=no report,1620691935
COL5816,19-Mar-21,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Farmers (Colombia),6,,,0,60,,170,South America,Colombia,Tolima,Lerida,,TOLIMA,LERIDA,Lerida,4.8614,-74.9099,2,El Nuevo Dia (Colombia),National,"On 19 March 2021, in Lerida municipality, Tolima department, rice farmers protested against rice imported from other countries. The group organized a motorcade from Lerida to Armero to demand the protection of local farmers.",0,crowd size=no report,1616441424
COL1810,23-Dec-19,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Health Workers (Colombia),6,,,0,60,,170,South America,Colombia,Tolima,Lerida,,TOLIMA,LERIDA,Lerida,4.8614,-74.9099,1,El Nuevo Dia (Colombia),National,"On 23 December 2019, in Lerida, Tolima, a group of health workers from the hospital Reina Sofia de Espana protested to demand the payment of their salaries and bonus. Health workers have been on a strike for two weeks.",0,crowd size=no report,1649356178
COL1771,12-Dec-19,2019,2,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Health Workers (Colombia),6,,,0,60,,170,South America,Colombia,Tolima,Lerida,,TOLIMA,LERIDA,Lerida,4.8614,-74.9099,1,El Nuevo Dia (Colombia),National,"Between December 12 and 14 2019, in Ibague, Tolima, health workers marched due to the financial situation at the hospital Reina Sofia de Lerida. Protesters demanded the payment of their salaries and bonuses.",0,crowd size=no report,1582839952
COL17730,27-Sep-22,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,,170,South America,Colombia,Tolima,Libano,,TOLIMA,LIBANO,Libano,4.9234,-75.0661,1,El Nuevo Dia (Colombia),National,"On 27 September 2022, in Libano (Tolima), hundreds of residents protested against the high prices of water bills in front of the mayor's office. They demanded a meeting with the Esmer public company to reach an agreement over the increase in prices.",0,crowd size=hundreds,1664823225
COL17707,24-Sep-22,2022,2,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,,170,South America,Colombia,Tolima,Libano,,TOLIMA,LIBANO,Libano,4.9234,-75.0661,1,El Nuevo Dia (Colombia),National,"Around 24 September 2022 (as reported), in Libano (Tolima), residents protested against the high prices of water bills in front of the mayor's office. They complained that the Esmer public company did not comply with the agreements that had been reached with the community to reduce the prices of the service.",0,crowd size=no report,1664823225
COL17545,10-Sep-22,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,,170,South America,Colombia,Tolima,Libano,,TOLIMA,LIBANO,Libano,4.9234,-75.0661,1,El Nuevo Dia (Colombia),National,"On 10 September 2022, in Libano (Tolima), for the second consecutive day, thousands of residents protested in front of the mayor's office against the high increase in the drinking water service bills.",0,crowd size=thousands,1663612764
COL17538,9-Sep-22,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,,170,South America,Colombia,Tolima,Libano,,TOLIMA,LIBANO,Libano,4.9234,-75.0661,1,El Nuevo Dia (Colombia),National,"On 9 September 2022, in Libano (Tolima), thousands of residents protested in front of the mayor's office against the high increase in drinking water service bills.",0,crowd size=thousands,1663612764
COL9729,19-Jan-22,2022,2,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Teachers (Colombia),6,,,0,60,,170,South America,Colombia,Tolima,Libano,,TOLIMA,LIBANO,Libano,4.9234,-75.0661,1,El Nuevo Dia (Colombia),National,"Around 19 January 2022 (as reported), in Libano (Tolima), teachers of the Isidro Parra Technical Institution protested to demand the removal of the illegal settlement in the area surrounding the school before the beginning of the classes. They claimed that the settlement decreased the enrollments in a 50 per cent.",0,crowd size=no report,1643051857
